Code,Output,Obfuscate
console.log(((([]+[])+[[]]+[]) +[])[2][1][5]),"Error: Command '['node', '-e', 'console.log(((([]+[])+[[]]+[]) +[])[2][1][5])']' returned non-zero exit status 1.",
console.log((function(str){return str.repeat(4)})(('x'))),xxxx,
console.log((((42**3)%22)+'')**2),196,
let string = 'Hello World!';console.log(string);,Hello World!,
let num = 10;let result = (num % 2) ? 'odd' : 'even';console.log(result);,even,
let answer = ((5*2)/3)+(4-1);console.log(answer);,6.333333333333334,
`Infinity===Infinity; console.log(Infinity===Infinity);`,,
"console.log(Object.keys(process.env).join(','))","ALLUSERSPROFILE,APPDATA,ChocolateyInstall,ChocolateyLastPathUpdate,CHROME_CRASHPAD_PIPE_NAME,CommonProgramFiles,CommonProgramFiles(x86),CommonProgramW6432,COMPUTERNAME,ComSpec,DriverData,HOMEDRIVE,HOMEPATH,LOCALAPPDATA,LOGONSERVER,NUMBER_OF_PROCESSORS,OneDrive,ORIGINAL_XDG_CURRENT_DESKTOP,OS,Path,PATHEXT,PROCESSOR_ARCHITECTURE,PROCESSOR_IDENTIFIER,PROCESSOR_LEVEL,PROCESSOR_REVISION,ProgramData,ProgramFiles,ProgramFiles(x86),ProgramW6432,PSModulePath,PUBLIC,SESSIONNAME,SynaProgDir,SystemDrive,SystemRoot,TEMP,TMP,USERDOMAIN,USERDOMAIN_ROAMINGPROFILE,USERNAME,USERPROFILE,VBOX_MSI_INSTALL_PATH,windir,ZES_ENABLE_SYSMAN,PYTHONSTARTUP,TERM_PROGRAM,TERM_PROGRAM_VERSION,LANG,COLORTERM,GIT_ASKPASS,VSCODE_GIT_ASKPASS_NODE,VSCODE_GIT_ASKPASS_EXTRA_ARGS,VSCODE_GIT_ASKPASS_MAIN,VSCODE_GIT_IPC_HANDLE,GOOGLE_API_KEY,VIRTUAL_ENV,VIRTUAL_ENV_PROMPT,VSCODE_INJECTION",
let num = 12345678901234567890n; console.log(num);,12345678901234567890n,
"let name = 'Carlo', surname = 'Rossi'; console.log(name + surname);",CarloRossi,
let sum = (1+2+3+4+5+6+7+8+9+10)*(11+12+13+14+15);console.log(sum);,3575,
"let num = 123 * 456;
let result = num + 789;
console.log(result);",56877,
"""Hello World""",,
let a=9;let b=3;console.log(a+b),12,
"let str = ""abracadabra"";
console.log(str.charAt(5));",a,
"console.log(Math.pow(2, 8));",256,
"const firstNames = [""Tom"", ""Dick"", ""Harry""];
console.log(firstNames[Math.floor(Math.random()*3)]);",Dick,
thistextshouldnotexceedtenwordswithnovariablesorconditionalsandshouldconsole.log,"Error: Command '['node', '-e', 'thistextshouldnotexceedtenwordswithnovariablesorconditionalsandshouldconsole.log']' returned non-zero exit status 1.",
"let palindrome = ""anna""; console.log(palindrome === palindrome.split('').reverse().join(''));",true,
"let name = 'example';
console.log(name+' '+name)",example example,
let a = 5; let b = 3; let c = a + b; console.log(c);,8,
console.log(1||2&&3),1,
"let x = 15;
let y = 17;
let z = x + y;
console.log(z);",32,
"let famousComposer = ""Beethoven""
console.log(famousComposer)",Beethoven,
"let n = 123;
let r1 = n % 10;
let r2 = (n % 100) - r1;
n /= 100;
let r3 = n;
console.log(r1,r2,r3);",3 20 1.23,
"let great=""Great""; let job=""Job"";console.log(great + "" "" + job);",Great Job,
"let name = ""Carlo"";console.log(name.toUpperCase());",CARLO,
console.log(0 instanceof Number);,false,
"let name = ""Carlo"";console.log(name)",Carlo,
let name='Jane';console.log('Hello '+`${name}`);,Hello Jane,
let a = 20 + 20;console.log(a);,40,
console.log(('x'*3)+('o'*3)+('x'*3));,NaN,
"let name = ""Carlo""; console.log(name);",Carlo,
console.log(([]+[]).length),0,
"console.log((0,1),(2,""a""), (3,true)[[2]]);",1 a undefined,
"let result = 'Hello, world!';console.log(result);","Hello, world!",
"let name = 'Carlo'
name = 'Juana'
console.log(name)",Juana,
"console.log('let name = ""Carlo"";')","let name = ""Carlo"";",
"let str = ""Hello World"";console.log(str)",Hello World,
"console.log((true ? true : false) === true ? ""True"" : ""False"")",True,
"let result = ""Hello"" + "" "" + ""World""; console.log(result);",Hello World,
let name=Carlo;console.log(name);,"Error: Command '['node', '-e', 'let name=Carlo;console.log(name);']' returned non-zero exit status 1.",
let n = 64; console.log(n.toString(2));,1000000,
"`let name = ""Dog""; let dog = ""Cat""; console.log(name, dog)`",,
"console.log('sum',(Math.pow(10,3)+Math.pow(2,2)-Math.pow(3,2))*(1/2))",sum 497.5,
"let a = [3, 6, 8, 2, 7, 9];console.log(a)","[ 3, 6, 8, 2, 7, 9 ]",
let name = 'Carlo';let age = '21';console.log(name +'is' +age +'years old.');,Carlois21years old.,
let digits = '123456789'; digits.split('').forEach(i => console.log(i));,"1
2
3
4
5
6
7
8
9",
"`let n=""Carlo""; console.log(n+n+n);`",,
"let name = ""Carlo""; console.log(name + "" plays basketball"");",Carlo plays basketball,
console.log('()()^(()()()()^()()()()^()()()()^()()()()^()()()()^()()()()^()()()()^()()()()'),()()^(()()()()^()()()()^()()()()^()()()()^()()()()^()()()()^()()()()^()()()(),
"let color = 'red';console.log(color.length, color.toUpperCase(), color.includes('e'));",3 RED true,
"let word = 'JavaScript';console.log(word.substr(3,2));",aS,
let adore = adore|| adore^ (adore|=2),"Error: Command '['node', '-e', 'let adore = adore|| adore^ (adore|=2)']' returned non-zero exit status 1.",
let answer = 'yes' || 'no'; console.log(answer);,yes,
"let a = true; let b = 12; let c = 'World'; console.log(a, b, c);",true 12 World,
"const ch =""A"" console.log(ch.charCodeAt(0))","Error: Command '['node', '-e', 'const ch =""A"" console.log(ch.charCodeAt(0))']' returned non-zero exit status 1.",
let word = 'hello'; let world = 'world'; console.log(word + ' ' + world);,hello world,
console.log(((([]+undefined)+'')+[])[1][0][0][0]),n,
"[8, 1, 7, 4, 3, 2, 5, 6].filter(x => x > 3).sort().reduce((a,b) => a + b)",,
console.log('Hello ' + 'there ' + 'world!'),Hello there world!,
let str = 1 + (2 + 3); console.log(str);,6,
"let name1=""Carlo""; let name2=""Petrucci""; console.log(name1, name2)",Carlo Petrucci,
"let name = ""carlo"";name += "" is very tired"";console.log(name)",carlo is very tired,
console.log(('1'==='1'&&('0'==='0'))+(1===1)+(0===0)),3,
console.log(typeof [typeof true]);,object,
"let array = [1,2,3,4,5];console.log(array[array.length - 1]);",5,
let num = 1000;console.log(num.toString(2));,1111101000,
let a=1;console.log(typeof(a===3));,boolean,
"(function(){console.log(""Hello World"");})();",Hello World,
"console.log([""ROCK"", ""PAPER"", ""SCISSORS""][Math.floor(Math.random() * 3)]);",ROCK,
let num = 1 + 2 * 3;console.log(num);,7,
let name='Freddy';console.log(name.toLowerCase().toUpperCase()),FREDDY,
"function greet(person) {
  console.log(""Hello"" + person + ""!"");
}
greet(""John"");
greet(""Jane"");","HelloJohn!
HelloJane!",
"let arr = [1,2,3,4];console.log(arr[3]);",4,
let n = 123; let sum = (n % 10) + ((n % 100) / 10) + ((n % 1000) / 100); console.log(sum);,6.529999999999999,
"let a=""a""; let b=""b""; console.log(a+b+a+b+a)",ababa,
let answer = (() => true)() ? 1 : 0;console.log(answer),1,
console.log('012345678901234567'),012345678901234567,
"console.log('evens');[2,4,6,8,10].forEach(e => console.log(e));console.log('odds');[1,3,5,7,9].forEach(e => console.log(e))","evens
2
4
6
8
10
odds
1
3
5
7
9",
"console.log([[[[[""a""]]]]]);",[ [ [ [Array] ] ] ],
"console.log(typeof(100+""20""));",string,
"console.log(sum(1, 2, 3, 4, 5))

function sum(...nums) {
    return nums.reduce((a, b) => a + b, 0);
}",15,
"let name = ""John"";console.log(name.slice(0, 2));",Jo,
"let zen = 'Sometimes the quietest thing is the loudest'
console.log(zen)",Sometimes the quietest thing is the loudest,
"let str = ""HeLlo WoRLd"".toLowerCase().split("""").reverse().join("""").toUpperCase()
console.log(str)",DLROW OLLEH,
"let x='butterfly';y='flower';console.log(x.includes('fly'),y.includes('fly'))",true false,
let unique = 123456789;console.log(unique);,123456789,
let a = 15; let b =15; console.log(a==b);,true,
"let sentence = ""JavaScript is a great language"";console.log(sentence)",JavaScript is a great language,
"console.log(
  +(
    ""e"" * +""0""
  ) + ""r"" + ""r"" + ""o"" + ""r""
);",NaNrror,
"let array = [1,2,3];let object = {n:1,two:2,three:3};console.log(array[0]+object.n)",2,
"let arr = [1,2,3,4,5];console.log(arr.reduce((a,b) => a + b));",15,
let x = 3 * 2 + 2 * 4;console.log(x);,14,
let message = `Codewars is so cool`; console.log(message),Codewars is so cool,
"const sentence = ""Hello, I'm here"";console.log(sentence);","Hello, I'm here",
"[3,4,5].map(v=>console.log(v))","3
4
5",
let n = 'Chris'; console.log(n.repeat(n.length)),ChrisChrisChrisChrisChris,
let response = (5 + 10) * (5 / 5) ** (3 - 2); console.log(response);,15,
let name = 'Hex';console.log('My name is '+name+'!');,My name is Hex!,
"console.log([1, 2, 3, 4, 5].reduce((a, b) => a * b, 1))",120,
const simpleLog = () => console.log(`The simplest program I can run!`);,,
"let array = [1, 2, 3, 4, 5]; console.log(array[2]);",3,
let num = 3 ** 4; console.log(num);,81,
"let a = 5 ** 5
console.log(a + a)",6250,
"let name = ""Carlo""; console.log(name)",Carlo,
"const emoji = [""💣"",""😎"",""💨"",""👍"",""✊"",""🖖"",""🤘"",""👌"",""👏"",""😁""]
console.log(emoji)",Not a valid command.,
"let i = - ~0 < 10 ? ""less"":""more""; console.log(i)",less,
"""123#abc$456&xyz!789@""",,
let num = 42;console.log(num);,42,
"'(function(){return""Hello, world!""})()'",,
console.log('Life is like a box of chocolates'),Life is like a box of chocolates,
"const isRainy = true;
const isSunny = !isRainy;
console.log(isSunny);",false,
let name = 'Carlo';console.log(name);console.log(name);console.log(name);console.log(name);console.log(name);,"Carlo
Carlo
Carlo
Carlo
Carlo",
const x = ((3+1)*5)*2+1;console.log(x);,41,
"`[1,2,3].map(x=>x*x). forEach(x=>console.log(x));`",,
"const evens = [2,4,6,8,10];
const result = evens.map(x=>x*x).map(x=>x/2);
console.log(result);","[ 2, 8, 18, 32, 50 ]",
"console.log([[[2],[5]],[[8],[7]]][0][0]+[[[2],[5]],[[8],[7]]][1][0]);",28,
console.log(typeof undefined===undefined);,false,
'let a = Boolean(5); console.log( a);',,
"console.log(Math.min(10,10,10,10,10,10,10,10,10,10))",10,
let sum = 2 + 2 + 2 + 2 + 2;console.log(sum);,10,
"[1,2,3,4].map(i=>console.log(i))","1
2
3
4",
let name = 'Carlo';console.log(name + ' ' + 'Rossi');,Carlo Rossi,
"let result = '1,2,3,4,5'; console.log(result);","1,2,3,4,5",
"let emoji = 'a&#x1f600;b&#x1f604;';console.log(emoji.replace(/[a-z]/g, ''));",&#1600;&#1604;,
"console.log(!!{}.length?""truthy"":""falsy"")",falsy,
console.log(1+4/2*5-10),1,
"let name = 'Cookie';console.log(""The dogs name is"", name);",The dogs name is Cookie,
"let array = [""example"", ""array"", ""list""];console.log(array[2]);",list,
let name = 'Jane';console.log('Her name is ' + name);,Her name is Jane,
let a = 1; let b = 2; let c = 3; console.log(a + b + c);,6,
"""Hello World!""; console.log(""Hello World!"");",Hello World!,
"let testArray = ['a', 'b', 'c']; console.log(testArray[1]); console.log(testArray[0]);","b
a",
let sum = 3+5;console.log(sum);,8,
let num = 3;let total = 0;for (let i = 0; i < num; i++) { total += i + 1; };console.log(total);,6,
"let name = ""Adam"";console.log(name + "" West"");",Adam West,
"let array = [1, 5, 2];console.log(array[2]);",2,
"""use strict"";console.log((4+4)*3-4);",20,
let answer = 2 + 2;console.log(answer);,4,
let x = Math.sin(0);console.log(x);,0,
"let word = ""hello""; console.log(word);",hello,
'Test: Good';console.log('Test: Good');,Test: Good,
let str1 = 'Hello';let str2 = 'World';console.log(str1 + ' ' + str2);,Hello World,
let course = 'javascript';console.log(course),javascript,
let favoriteFood = 'Pizza';  console.log(favoriteFood);,Pizza,
let x = 1; let y = 2; let z = x + y;console.log(z);,3,
console.log(1 + 2 + 3 - 4 * 5 + 6 / 3);,-12,
let a = 5; let b = 7; console.log(a * b);,35,
let firstName = 'Jet';let lastName = 'Set';console.log(firstName + ' ' + lastName);,Jet Set,
console.log('apple' + 'banana' + 'cherry');,applebananacherry,
"console.log(1 === 2,2 === 2,3 === 2);",false true false,
function ping() { return 'pong'; } ;console.log(ping());,pong,
"let greeting = ""Hello, world!""; console.log(greeting);","Hello, world!",
"let name = ""Gary"";
let city = ""NYC"";
let age = 25;
let country = ""USA"";
console.log(`My name is ${name}, age is ${age}, and I live in ${city}, and from country ${country}.`);","My name is Gary, age is 25, and I live in NYC, and from country USA.",
let name = 'John';console.log(name);,John,
'let _2 = 3 + 4;let _3 = 6 * 7;console.log(_2);console.log(_3);',,
let name = 'Carlo'; console.log(name);,Carlo,
let v = '!';console.log(v.repeat(12));,!!!!!!!!!!!!,
let result = (10 * 5) + 10;console.log(result);,60,
let eight = 8;console.log(eight);,8,
"let one = 1;
let two = 2;
let three = one + two;
console.log(one);
console.log(two);
console.log(three);","1
2
3",
