code,output
"let temperature = 30; if (temperature > 25) { console.log(""It's hot outside.""); } else { console.log(""It's cool outside.""); }",It's hot outside.
"const password = ""12345""; if (password === ""12345"") { console.log(""Access granted.""); } else { console.log(""Access denied.""); }",Access granted.
"let a = 8; let b = 15; let sum = a + b; if (sum > 20) { console.log(""Sum is greater than 20.""); } else { console.log(""Sum is not greater than 20.""); }",Sum is greater than 20.
"let user = ""admin""; if (user === ""admin"") { console.log(""Welcome, admin!""); } else { console.log(""Welcome, user!""); }","Welcome, admin!"
"const grade = 85; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else { console.log(""C or below""); }",B
"let day = ""Monday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }",It's a weekday.
"let score = 75; if (score >= 50) { console.log(""You passed!""); } else { console.log(""You failed.""); }",You passed!
"let trafficLight = ""red""; if (trafficLight === ""green"") { console.log(""Go!""); } else if (trafficLight === ""yellow"") { console.log(""Slow down.""); } else { console.log(""Stop.""); }",Stop.
"const num1 = 12; const num2 = 8; if (num1 > num2) { console.log(""num1 is greater.""); } else { console.log(""num2 is greater.""); }",num1 is greater.
"let isMember = false; if (isMember) { console.log(""Welcome, member!""); } else { console.log(""Please sign up.""); }",Please sign up.
"const time = 14; if (time < 12) { console.log(""Good morning!""); } else if (time < 18) { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); }",Good afternoon!
"let budget = 500; let price = 600; if (budget >= price) { console.log(""You can buy it.""); } else { console.log(""You cannot afford it.""); }",You cannot afford it.
"const userType = ""guest""; if (userType === ""admin"") { console.log(""Admin access granted.""); } else if (userType === ""user"") { console.log(""User access granted.""); } else { console.log(""Guest access only.""); }",Guest access only.
"let isHungry = true; if (isHungry) { console.log(""Let's eat something.""); } else { console.log(""No need to eat now.""); }",Let's eat something.
"let fuelLevel = 30; if (fuelLevel > 50) { console.log(""Fuel level is good.""); } else if (fuelLevel > 20) { console.log(""Fuel level is okay.""); } else { console.log(""Fuel level is low.""); }",Fuel level is okay.
"const temperature = 40; if (temperature >= 100) { console.log(""Boiling point!""); } else if (temperature >= 0) { console.log(""Above freezing point.""); } else { console.log(""Below freezing point.""); }",Above freezing point.
"let grade = 92; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else if (grade >= 70) { console.log(""C""); } else { console.log(""D or F""); }",A
"let isWeekend = true; if (isWeekend) { console.log(""Time to relax!""); } else { console.log(""Time to work!""); }",Time to relax!
"const weather = ""sunny""; if (weather === ""rainy"") { console.log(""Take an umbrella.""); } else if (weather === ""sunny"") { console.log(""Wear sunglasses.""); } else { console.log(""Dress appropriately.""); }",Wear sunglasses.
"let batteryLevel = 15; if (batteryLevel > 20) { console.log(""Battery level is sufficient.""); } else { console.log(""Battery level is low.""); }",Battery level is low.
"const discount = 0.3; if (discount > 0.5) { console.log(""Huge discount!""); } else if (discount > 0.2) { console.log(""Good discount.""); } else { console.log(""Small discount.""); }",Good discount.
"let hoursWorked = 45; if (hoursWorked > 40) { console.log(""Overtime pay.""); } else { console.log(""Regular pay.""); }",Overtime pay.
"const isOnline = false; if (isOnline) { console.log(""User is online.""); } else { console.log(""User is offline.""); }",User is offline.
"let weight = 70; let height = 1.75; let bmi = weight / (height * height); if (bmi < 18.5) { console.log(""Underweight""); } else if (bmi < 24.9) { console.log(""Normal weight""); } else { console.log(""Overweight""); }",Normal weight
"const isLoggedIn = true; if (isLoggedIn) { console.log(""Welcome back!""); } else { console.log(""Please log in.""); }",Welcome back!
"let speed = 55; if (speed > 60) { console.log(""Speeding""); } else if (speed < 40) { console.log(""Driving too slow""); } else { console.log(""Speed is okay""); }",Speed is okay
"let hasLicense = true; if (hasLicense) { console.log(""You can drive.""); } else { console.log(""You cannot drive.""); }",You can drive.
"const isSenior = false; if (isSenior) { console.log(""Senior discount applied.""); } else { console.log(""Regular pricing.""); }",Regular pricing.
"let balance = 250; let purchaseAmount = 200; if (balance >= purchaseAmount) { console.log(""Purchase successful.""); } else { console.log(""Insufficient funds.""); }",Purchase successful.
"const season = ""winter""; if (season === ""summer"") { console.log(""Time for the beach!""); } else if (season === ""winter"") { console.log(""Time for skiing!""); } else { console.log(""Enjoy the season!""); }",Time for skiing!
"let isSubscribed = true; if (isSubscribed) { console.log(""Access to premium content.""); } else { console.log(""Subscribe for more features.""); }",Access to premium content.
"const light = ""on""; if (light === ""on"") { console.log(""The room is bright.""); } else { console.log(""The room is dark.""); }",The room is bright.
"let isStudent = false; if (isStudent) { console.log(""Student discount applied.""); } else { console.log(""No discount available.""); }",No discount available.
"const temperature = 15; if (temperature > 30) { console.log(""It's very hot.""); } else if (temperature < 10) { console.log(""It's very cold.""); } else { console.log(""The temperature is moderate.""); }",The temperature is moderate.
"let isVIP = true; if (isVIP) { console.log(""Welcome, VIP!""); } else { console.log(""Welcome, guest.""); }","Welcome, VIP!"
"const hour = 22; if (hour < 12) { console.log(""Good morning!""); } else if (hour < 18) { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); }",Good evening!
"let temperature = 25; if (temperature > 30) { console.log(""It's hot outside.""); } else if (temperature < 15) { console.log(""It's cold outside.""); } else { console.log(""The weather is pleasant.""); }",The weather is pleasant.
"const fruit = ""apple""; if (fruit === ""apple"") { console.log(""An apple a day keeps the doctor away.""); } else if (fruit === ""banana"") { console.log(""Bananas are rich in potassium.""); } else { console.log(""Fruits are healthy.""); }",An apple a day keeps the doctor away.
"let score = 85; if (score >= 90) { console.log(""Grade: A""); } else if (score >= 80) { console.log(""Grade: B""); } else if (score >= 70) { console.log(""Grade: C""); } else { console.log(""Grade: D or F""); }",Grade: B
"const trafficSignal = ""green""; if (trafficSignal === ""red"") { console.log(""Stop""); } else if (trafficSignal === ""yellow"") { console.log(""Caution""); } else { console.log(""Go""); }",Go
"let isRainy = false; if (isRainy) { console.log(""Take a raincoat.""); } else { console.log(""No need for a raincoat.""); }",No need for a raincoat.
"const examScore = 58; if (examScore >= 60) { console.log(""You passed the exam.""); } else { console.log(""You failed the exam.""); }",You failed the exam.
"let membership = ""premium""; if (membership === ""premium"") { console.log(""Access to all features.""); } else if (membership === ""standard"") { console.log(""Access to standard features.""); } else { console.log(""No membership.""); }",Access to all features.
"const age = 17; if (age >= 18) { console.log(""You are eligible to vote.""); } else { console.log(""You are not eligible to vote.""); }",You are not eligible to vote.
"let isAuthenticated = true; if (isAuthenticated) { console.log(""User is logged in.""); } else { console.log(""User is not logged in.""); }",User is logged in.
"const day = ""Friday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }",It's a weekday.
"let stock = 20; if (stock > 0) { console.log(""In stock""); } else { console.log(""Out of stock""); }",In stock
"const userRole = ""editor""; if (userRole === ""admin"") { console.log(""Admin access""); } else if (userRole === ""editor"") { console.log(""Editor access""); } else { console.log(""Guest access""); }",Editor access
"let height = 180; if (height > 170) { console.log(""Tall""); } else { console.log(""Not tall""); }",Tall
"const hasPermission = true; if (hasPermission) { console.log(""Permission granted""); } else { console.log(""Permission denied""); }",Permission granted
"let waterLevel = 50; if (waterLevel < 30) { console.log(""Low water level""); } else if (waterLevel < 70) { console.log(""Moderate water level""); } else { console.log(""High water level""); }",Moderate water level
"const loggedIn = false; if (loggedIn) { console.log(""Welcome back!""); } else { console.log(""Please log in.""); }",Please log in.
"let price = 200; if (price > 100) { console.log(""Expensive""); } else { console.log(""Affordable""); }",Expensive
"const isHoliday = false; if (isHoliday) { console.log(""Enjoy your holiday!""); } else { console.log(""It's a regular day.""); }",It's a regular day.
"let speed = 70; if (speed > 65) { console.log(""Over the speed limit""); } else { console.log(""Within the speed limit""); }",Over the speed limit
"const lightStatus = ""off""; if (lightStatus === ""on"") { console.log(""The light is on""); } else { console.log(""The light is off""); }",The light is off
"let color = ""blue""; if (color === ""red"") { console.log(""The color is red.""); } else if (color === ""blue"") { console.log(""The color is blue.""); } else { console.log(""The color is neither red nor blue.""); }",The color is blue.
"const isAvailable = true; if (isAvailable) { console.log(""Item is available.""); } else { console.log(""Item is not available.""); }",Item is available.
"let age = 65; if (age >= 65) { console.log(""Eligible for senior discount.""); } else { console.log(""Not eligible for senior discount.""); }",Eligible for senior discount.
"const examResult = ""pass""; if (examResult === ""pass"") { console.log(""Congratulations!""); } else { console.log(""Better luck next time.""); }",Congratulations!
"let temperature = -5; if (temperature < 0) { console.log(""It's freezing.""); } else { console.log(""It's not freezing.""); }",It's freezing.
"const userStatus = ""active""; if (userStatus === ""active"") { console.log(""User is active.""); } else { console.log(""User is inactive.""); }",User is active.
"let salary = 4000; if (salary > 3000) { console.log(""High salary.""); } else { console.log(""Average salary.""); }",High salary.
"const pet = ""cat""; if (pet === ""dog"") { console.log(""You have a dog.""); } else if (pet === ""cat"") { console.log(""You have a cat.""); } else { console.log(""You have a different pet.""); }",You have a cat.
"let marks = 45; if (marks >= 50) { console.log(""Passed the exam.""); } else { console.log(""Failed the exam.""); }",Failed the exam.
"const mealTime = ""dinner""; if (mealTime === ""breakfast"") { console.log(""Good morning!""); } else if (mealTime === ""lunch"") { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); }",Good evening!
"let userAge = 21; if (userAge >= 21) { console.log(""You can legally drink alcohol in the US.""); } else { console.log(""You cannot legally drink alcohol in the US.""); }",You can legally drink alcohol in the US.
"const lightColor = ""green""; if (lightColor === ""red"") { console.log(""Stop!""); } else if (lightColor === ""yellow"") { console.log(""Prepare to stop.""); } else { console.log(""Go!""); }",Go!
"let isWeekend = false; if (isWeekend) { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }",It's a weekday.
"const subscriptionStatus = ""expired""; if (subscriptionStatus === ""active"") { console.log(""Subscription is active.""); } else { console.log(""Subscription is expired.""); }",Subscription is expired.
"let grade = 95; if (grade >= 90) { console.log(""Excellent!""); } else if (grade >= 75) { console.log(""Good job!""); } else { console.log(""Needs improvement.""); }",Excellent!
"const event = ""rainy""; if (event === ""sunny"") { console.log(""It's a sunny day!""); } else if (event === ""cloudy"") { console.log(""It's a cloudy day.""); } else { console.log(""It's a rainy day.""); }",It's a rainy day.
"let hasTickets = true; if (hasTickets) { console.log(""You can enter the event.""); } else { console.log(""You need to buy tickets.""); }",You can enter the event.
"const isMember = true; if (isMember) { console.log(""Welcome, member!""); } else { console.log(""Please sign up to become a member.""); }","Welcome, member!"
"let score = 60; if (score >= 75) { console.log(""Passed with distinction.""); } else if (score >= 50) { console.log(""Passed.""); } else { console.log(""Failed.""); }",Passed.
"const vehicle = ""car""; if (vehicle === ""car"") { console.log(""You have a car.""); } else if (vehicle === ""bike"") { console.log(""You have a bike.""); } else { console.log(""You have a different vehicle.""); }",You have a car.
"let a = 5; let b = 10; if (a > b) { console.log(""a is greater than b""); } else { console.log(""b is greater than or equal to a""); }",b is greater than or equal to a
"let x = 7; if (x % 2 === 0) { console.log(""x is even""); } else { console.log(""x is odd""); }",x is odd
"let age = 20; let canVote = age >= 18 ? ""Yes"" : ""No""; console.log(canVote);",Yes
"let score = 85; if (score >= 90) { console.log(""Grade A""); } else if (score >= 80) { console.log(""Grade B""); } else { console.log(""Grade C""); }",Grade B
"let day = ""Monday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's a weekend""); } else { console.log(""It's a weekday""); }",It's a weekday
"let temp = 30; if (temp > 25) { console.log(""It's hot""); } else { console.log(""It's cool""); }",It's hot
"let height = 180; if (height > 170) { console.log(""Tall""); } else { console.log(""Short""); }",Tall
"let num = 15; if (num > 0) { console.log(""Positive number""); } else if (num < 0) { console.log(""Negative number""); } else { console.log(""Zero""); }",Positive number
"let weather = ""rainy""; if (weather === ""sunny"") { console.log(""Wear sunglasses""); } else if (weather === ""rainy"") { console.log(""Carry an umbrella""); } else { console.log(""Check the weather""); }",Carry an umbrella
"let grade = 65; if (grade >= 50) { console.log(""Passed""); } else { console.log(""Failed""); }",Passed
"let balance = 200; let withdraw = 100; if (balance >= withdraw) { console.log(""Withdrawal successful""); } else { console.log(""Insufficient funds""); }",Withdrawal successful
"let temperature = 15; if (temperature > 0) { console.log(""Above freezing""); } else { console.log(""Below freezing""); }",Above freezing
let isMember = true; let price = isMember ? 10 : 20; console.log(price);,10
"let speed = 90; if (speed > 80) { console.log(""Speeding""); } else { console.log(""Within limit""); }",Speeding
"let number = -3; if (number > 0) { console.log(""Positive""); } else if (number < 0) { console.log(""Negative""); } else { console.log(""Zero""); }",Negative
"let light = ""red""; if (light === ""green"") { console.log(""Go""); } else if (light === ""yellow"") { console.log(""Caution""); } else { console.log(""Stop""); }",Stop
"let age = 16; if (age >= 18) { console.log(""Adult""); } else { console.log(""Minor""); }",Minor
"let isRaining = false; let outfit = isRaining ? ""Raincoat"" : ""T-shirt""; console.log(outfit);",T-shirt
"let time = 22; if (time < 12) { console.log(""Good morning""); } else if (time < 18) { console.log(""Good afternoon""); } else { console.log(""Good evening""); }",Good evening
"let grade = 75; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else if (grade >= 70) { console.log(""C""); } else { console.log(""F""); }",C
"let day = ""Friday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""Weekend""); } else { console.log(""Weekday""); }",Weekday
"let open = true; let status = open ? ""Open"" : ""Closed""; console.log(status);",Open
"let a = 4; let b = 4; if (a === b) { console.log(""Equal""); } else { console.log(""Not equal""); }",Equal
let income = 45000; let tax = income > 40000 ? 0.25 : 0.15; console.log(tax);,0.25
"let user = ""admin""; if (user === ""admin"") { console.log(""Welcome, admin""); } else { console.log(""Welcome, user""); }","Welcome, admin"
"let password = ""secret""; if (password.length >= 8) { console.log(""Password is strong""); } else { console.log(""Password is weak""); }",Password is weak
"let fuel = 15; if (fuel < 10) { console.log(""Low fuel""); } else { console.log(""Fuel level is okay""); }",Fuel level is okay
"let items = 3; if (items > 0) { console.log(""Items in cart""); } else { console.log(""Cart is empty""); }",Items in cart
let salary = 60000; let bonus = salary > 50000 ? 5000 : 2000; console.log(bonus);,5000
"let examScore = 55; if (examScore >= 50) { console.log(""Passed""); } else { console.log(""Failed""); }",Passed
"let online = true; if (online) { console.log(""User is online""); } else { console.log(""User is offline""); }",User is online
"let weight = 70; if (weight > 80) { console.log(""Overweight""); } else { console.log(""Normal weight""); }",Normal weight
"let permission = ""denied""; if (permission === ""granted"") { console.log(""Access granted""); } else { console.log(""Access denied""); }",Access denied
"let score = 65; let result = score >= 60 ? ""Pass"" : ""Fail""; console.log(result);",Pass
"let battery = 15; if (battery > 20) { console.log(""Battery level is okay""); } else { console.log(""Low battery""); }",Low battery
"let temp = 28; if (temp > 25) { console.log(""Hot""); } else { console.log(""Cool""); }",Hot
"let isWeekend = false; let plan = isWeekend ? ""Relax"" : ""Work""; console.log(plan);",Work
"let tickets = 0; if (tickets > 0) { console.log(""You have tickets""); } else { console.log(""No tickets available""); }",No tickets available
"let a = 10; let b = 20; if (a > b) { console.log(""a is greater""); } else { console.log(""b is greater""); }",b is greater
"let price = 100; if (price > 50) { console.log(""Expensive""); } else { console.log(""Affordable""); }",Expensive
"let studentGrade = 88; if (studentGrade >= 90) { console.log(""Excellent""); } else if (studentGrade >= 75) { console.log(""Good""); } else { console.log(""Needs improvement""); }",Good
"let isSunny = true; let activity = isSunny ? ""Go to the beach"" : ""Stay indoors""; console.log(activity);",Go to the beach
"let year = 2024; if (year % 4 === 0 && (year % 100 !== 0 || year % 400 === 0)) { console.log(""Leap year""); } else { console.log(""Not a leap year""); }",Leap year
let isMember = false; let discount = isMember ? 10 : 0; console.log(discount);,0
"let score = 92; if (score >= 90) { console.log(""A""); } else if (score >= 80) { console.log(""B""); } else if (score >= 70) { console.log(""C""); } else { console.log(""F""); }",A
"let response = 404; if (response === 200) { console.log(""Success""); } else { console.log(""Error""); }",Error
"let waterLevel = 12; if (waterLevel > 10) { console.log(""High""); } else { console.log(""Low""); }",High
"let score = 45; let message = score >= 40 ? ""Passed"" : ""Failed""; console.log(message);",Passed
"let isHungry = true; if (isHungry) { console.log(""Eat something""); } else { console.log(""You're not hungry""); }",Eat something
"let isHot = true; let drink = isHot ? ""Cold drink"" : ""Hot drink""; console.log(drink);",Cold drink
"let isHoliday = false; if (isHoliday) { console.log(""Holiday""); } else { console.log(""Working day""); }",Working day
"let age = 17; let voteEligibility = age >= 18 ? ""Eligible to vote"" : ""Not eligible to vote""; console.log(voteEligibility);",Not eligible to vote
"let quantity = 0; if (quantity > 0) { console.log(""In stock""); } else { console.log(""Out of stock""); }",Out of stock
"let result = true; if (result) { console.log(""Success""); } else { console.log(""Failure""); }",Success
"let speed = 70; if (speed > 60) { console.log(""Over speed limit""); } else { console.log(""Within speed limit""); }",Over speed limit
"let budget = 500; let cost = 450; if (cost <= budget) { console.log(""Purchase approved""); } else { console.log(""Insufficient funds""); }",Purchase approved
"let distance = 8; if (distance > 10) { console.log(""Long distance""); } else { console.log(""Short distance""); }",Short distance
"let grade = 85; let performance = grade >= 90 ? ""Excellent"" : grade >= 75 ? ""Good"" : ""Average""; console.log(performance);",Good
"let season = ""winter""; if (season === ""summer"") { console.log(""Hot season""); } else if (season === ""winter"") { console.log(""Cold season""); } else { console.log(""Moderate season""); }",Cold season
"let signal = ""red""; let action = signal === ""green"" ? ""Go"" : signal === ""yellow"" ? ""Slow down"" : ""Stop""; console.log(action);",Stop
"let year = 2023; if (year % 100 === 0 && year % 400 !== 0) { console.log(""Not a leap year""); } else if (year % 4 === 0) { console.log(""Leap year""); } else { console.log(""Not a leap year""); }",Not a leap year
let isStudent = false; let fee = isStudent ? 10 : 20; console.log(fee);,20
let isAdult = true; let entryFee = isAdult ? 15 : 5; console.log(entryFee);,15
"let mark = 78; if (mark >= 75) { console.log(""Distinction""); } else if (mark >= 50) { console.log(""Pass""); } else { console.log(""Fail""); }",Distinction
"let battery = 80; let status = battery > 50 ? ""Battery full"" : ""Battery low""; console.log(status);",Battery full
"let price = 45; if (price >= 50) { console.log(""High price""); } else { console.log(""Low price""); }",Low price
"let isLoggedIn = true; let welcomeMessage = isLoggedIn ? ""Welcome back"" : ""Please log in""; console.log(welcomeMessage);",Welcome back
"let score = 67; if (score > 65) { console.log(""Above average""); } else { console.log(""Below average""); }",Above average
"let temp = 22; if (temp > 20) { console.log(""Warm day""); } else { console.log(""Cool day""); }",Warm day
"let votes = 300; if (votes > 1000) { console.log(""Highly popular""); } else { console.log(""Less popular""); }",Less popular
"let speed = 90; if (speed < 50) { console.log(""Slow""); } else if (speed < 80) { console.log(""Normal speed""); } else { console.log(""Fast""); }",Fast
"let hasTicket = false; if (hasTicket) { console.log(""Admit""); } else { console.log(""No entry""); }",No entry
"let number = 15; let result = number % 3 === 0 ? ""Divisible by 3"" : ""Not divisible by 3""; console.log(result);",Divisible by 3
"let grade = ""B""; if (grade === ""A"") { console.log(""Excellent""); } else if (grade === ""B"") { console.log(""Good""); } else if (grade === ""C"") { console.log(""Fair""); } else { console.log(""Poor""); }",Good
"let isRaining = true; if (isRaining) { console.log(""Take an umbrella""); } else { console.log(""No need for an umbrella""); }",Take an umbrella
"let amount = 150; let message = amount >= 100 ? ""Eligible for discount"" : ""Not eligible for discount""; console.log(message);",Eligible for discount
"let food = ""vegetarian""; if (food === ""vegetarian"") { console.log(""Veg meal""); } else { console.log(""Non-veg meal""); }",Veg meal
"let attendance = 80; if (attendance >= 75) { console.log(""Allowed to sit for exams""); } else { console.log(""Not allowed to sit for exams""); }",Allowed to sit for exams
"let isAuthenticated = false; if (isAuthenticated) { console.log(""Access granted""); } else { console.log(""Access denied""); }",Access denied
"let waterTemperature = 95; if (waterTemperature > 90) { console.log(""Hot water""); } else { console.log(""Cold water""); }",Hot water
"let stock = 100; if (stock > 50) { console.log(""Stock available""); } else { console.log(""Stock low""); }",Stock available
"let membership = ""gold""; if (membership === ""gold"") { console.log(""Gold member benefits""); } else if (membership === ""silver"") { console.log(""Silver member benefits""); } else { console.log(""Standard member benefits""); }",Gold member benefits
"let isWeekend = true; if (isWeekend) { console.log(""Relax""); } else { console.log(""Work""); }",Relax
"let num = 12; if (num % 2 === 0) { console.log(""Even number""); } else { console.log(""Odd number""); }",Even number
"let age = 65; if (age >= 60) { console.log(""Senior citizen""); } else { console.log(""Adult""); }",Senior citizen
"let light = ""green""; if (light === ""green"") { console.log(""Proceed""); } else { console.log(""Wait""); }",Proceed
"let balance = 300; let purchase = 150; if (balance >= purchase) { console.log(""Purchase successful""); } else { console.log(""Insufficient balance""); }",Purchase successful
"let temp = 35; let comfort = temp > 30 ? ""Hot"" : ""Comfortable""; console.log(comfort);",Hot
"let season = ""summer""; if (season === ""winter"") { console.log(""Cold weather""); } else { console.log(""Warm weather""); }",Warm weather
"let credits = 25; if (credits >= 30) { console.log(""Full-time student""); } else { console.log(""Part-time student""); }",Part-time student
"let isDaytime = false; let greeting = isDaytime ? ""Good day"" : ""Good night""; console.log(greeting);",Good night
let salary = 55000; let bonus = salary > 50000 ? 5000 : 2000; console.log(bonus);,5000
"let rating = 4.5; if (rating >= 4) { console.log(""High rating""); } else { console.log(""Low rating""); }",High rating
"let availableSeats = 0; if (availableSeats > 0) { console.log(""Seats available""); } else { console.log(""No seats available""); }",No seats available
"let examResult = ""pass""; if (examResult === ""pass"") { console.log(""Congratulations""); } else { console.log(""Try again""); }",Congratulations
"let hasLicense = true; if (hasLicense) { console.log(""Can drive""); } else { console.log(""Cannot drive""); }",Can drive
"let distance = 15; let travelMode = distance > 10 ? ""Car"" : ""Bike""; console.log(travelMode);",Car
"let isMember = true; if (isMember) { console.log(""Member discount applied""); } else { console.log(""No discount""); }",Member discount applied
"let emailVerified = false; if (emailVerified) { console.log(""Email verified""); } else { console.log(""Please verify your email""); }",Please verify your email
"let testScore = 88; if (testScore >= 90) { console.log(""Grade A""); } else if (testScore >= 80) { console.log(""Grade B""); } else if (testScore >= 70) { console.log(""Grade C""); } else { console.log(""Grade D""); }",Grade B
let product = 1; for(let i = 1; i <= 5; i++) { product *= i; } console.log(product);,120
let str = ''; for(let i = 0; i < 5; i++) { str += 'a'; } console.log(str);,aaaaa
let squares = []; for(let i = 1; i <= 5; i++) { squares.push(i * i); } console.log(squares);,"[ 1, 4, 9, 16, 25 ]"
let odds = []; for(let i = 1; i < 10; i += 2) { odds.push(i); } console.log(odds);,"[ 1, 3, 5, 7, 9 ]"
let sumOfOdds = 0; for(let i = 1; i <= 10; i++) { if(i % 2 !== 0) sumOfOdds += i; } console.log(sumOfOdds);,25
let sum = 0; for (let i = 0; i < 10; i++) { sum += i; } console.log(sum);,45
let result = 1; for (let i = 1; i <= 5; i++) { result *= i; } console.log(result);,120
let sum = 0; for (let i = 0; i < 10; i++) { sum += i * 2; } console.log(sum);,90
let evenSum = 0; for (let i = 0; i < 10; i += 2) { evenSum += i; } console.log(evenSum);,20
let squares = []; for (let i = 0; i < 5; i++) { squares.push(i * i); } console.log(squares);,"[ 0, 1, 4, 9, 16 ]"
let sumOdd = 0; for (let i = 1; i < 10; i += 2) { sumOdd += i; } console.log(sumOdd);,25
let str = ''; for (let i = 0; i < 3; i++) { str += 'hello'; } console.log(str);,hellohellohello
let count = 0; for (let i = 0; i < 8; i++) { count += 3; } console.log(count);,24
let result = 0; for (let i = 0; i < 4; i++) { result += i * 5; } console.log(result);,30
let str = ''; for (let i = 0; i < 6; i++) { str += (i % 2 === 0 ? 'a' : 'b'); } console.log(str);,ababab
let sum = 0; for (let i = 0; i < 10; i++) { sum += i + 2; } console.log(sum);,65
let arr = []; for (let i = 0; i < 5; i++) { arr.push(i + 1); } console.log(arr);,"[ 1, 2, 3, 4, 5 ]"
let result = 0; for (let i = 1; i <= 4; i++) { result += i * i; } console.log(result);,30
let str = ''; for (let i = 0; i < 4; i++) { str += i.toString(); } console.log(str);,0123
let sum = 0; for (let i = 0; i < 5; i++) { sum += i * 3; } console.log(sum);,30
let total = 1; for (let i = 1; i <= 5; i++) { total += i * 2; } console.log(total);,31
let product = 1; for (let i = 1; i < 5; i++) { product *= (i + 2); } console.log(product);,360
let message = ''; for (let i = 0; i < 4; i++) { message += 'X'; } console.log(message);,XXXX
let sum = 0; for (let i = 1; i <= 7; i++) { sum += i + 3; } console.log(sum);,49
let sequence = ''; for (let i = 1; i <= 5; i++) { sequence += 'AB'; } console.log(sequence);,ABABABABAB
let sumSquares = 0; for (let i = 1; i <= 3; i++) { sumSquares += (i * i); } console.log(sumSquares);,14
