code,output,obfuscate code,obfuscate output,obfuscation type
"const a = 3, b = 4;
const hypotenuse = Math.sqrt(a*a + b*b);
console.log(`Hypotenuse: ${hypotenuse}`);",,"""const a = 3, b = 4;const _a_ = 10;const __a = _a_ * 2;const hypotenuse = Math.sqrt(a*a + b*b);const ____a = __a * _a_;console.log(`Hypotenuse: ${hypotenuse}`);""
",,Dead Code Obfuscation
"const number = 3.141592653589793;
const fixedNumber = number.toFixed(2);
console.log(`Fixed number: ${fixedNumber}`);",,"""const number=3.141592653589793;const a=10;const b=a+5;const fixedNumber=number.toFixed(2);console.log(`Fixed number: ${fixedNumber}`);""
",,Dead Code Obfuscation
"const str = ""JavaScript"";
const firstChar = str.charAt(0);
console.log(`First character: ${firstChar}`);",,"""const str='JavaScript';const firstChar=str.charAt(0);console.log(`First character: ${firstChar}`);function dummy(){let a=1;let b=2;let c=a+b;return c;}dummy();""
",,Dead Code Obfuscation
"const length = 10;
const width = 5;
const perimeter = 2 * (length + width);
console.log(`Perimeter of rectangle: ${perimeter}`);",,"""const length=10;const width=5;const perimeter=2*(length+width);const dummy='this is a dummy';console.log(`Perimeter of rectangle: ${perimeter}`);""
",,Dead Code Obfuscation
"const numbers = [10, 20, 30, 40, 50];
console.log(`Array of numbers: ${numbers}`);",,"""const numbers=[10,20,30,40,50];function dummy(){let a=10;a++;a--;};dummy();console.log(`Array of numbers: ${numbers}`);""
",,Dead Code Obfuscation
"const str = ""Hello, JavaScript!"";
const contains = str.includes(""JavaScript"");
console.log(`Contains 'JavaScript': ${contains}`);",,"""const str=\""Hello, JavaScript!\"";const contains=str.includes(\""JavaScript\"");const foo=25;let bar=foo*2;console.log(`Contains 'JavaScript': ${contains}`);bar+=foo;""
",,Dead Code Obfuscation
"const str = ""HELLO WORLD"";
const lowerStr = str.toLowerCase();
console.log(lowerStr);",,"""const str = \""HELLO WORLD\"";const lowerStr = str.toLowerCase();console.log(lowerStr);const foo = 10;const bar = foo * 2;console.log(bar);""
",,Dead Code Obfuscation
"const num = 7.5;
const rounded = Math.round(num);
console.log(`Rounded number: ${rounded}`);",,"""const num=7.5;const rounded=Math.round(num);console.log(`Rounded number: ${rounded}`);function dummy(){let a=1;let b=2;let c=a+b;return c;};dummy();""
",,Dead Code Obfuscation
"const fruits = [""Apple"", ""Banana"", ""Cherry""];
console.log(fruits);",,"""const fruits=[\""Apple\"",\""Banana\"",\""Cherry\""];let foo=10;foo+=5;console.log(fruits);""
",,Dead Code Obfuscation
"const arr = [1, 2, 3, 4, 5];
const length = arr.length;
console.log(`Array length: ${length}`);",,"""const arr=[1,2,3,4,5];const length=arr.length;function dummy(){let a=1;a++;a=a*2;}dummy();console.log(`Array length: ${length}`);""
",,Dead Code Obfuscation
"const now = new Date();
const year = now.getFullYear();
console.log(`Current year: ${year}`);",,"""const now=new Date();const year=now.getFullYear();console.log(`Current year: ${year}`);const foo='bar';const bar=foo;if(foo===bar){console.log('This is dead code');}""
",,Dead Code Obfuscation
"const x = 15, y = 10, z = 20;
const min = Math.min(x, y, z);
console.log(`Minimum: ${min}`);",,"""const x=15,y=10,z=20;const _0x3d90=['log'];(function(_0x40763f,_0x4d0c1d){const _0x36229a=function(_0x45c1d1){while(--_0x45c1d1){_0x40763f['push'](_0x40763f['shift']());}};_0x36229a(++_0x4d0c1d);}(_0x3d90,0x189));const _0x32c3=function(_0x1a494c,_0x32408d){_0x1a494c=_0x1a494c-0x0;let _0x16f851=_0x3d90[_0x1a494c];return _0x16f851;};const min=Math['min'](x,y,z);console[_0x32c3('0x0')](`Minimum: ${min}`);""",,Dead Code Obfuscation
"const myBirthday = new Date('2000-01-01');
console.log(`My birthday: ${myBirthday}`);",,"""const myBirthday=new Date('2000-01-01');Date.prototype.xyz=function(){};let zzz=1+1;console.log(`My birthday: ${myBirthday}`);""
",,Dead Code Obfuscation
"const base = 2;
const exponent = 3;
const result = Math.pow(base, exponent);
console.log(`${base}^${exponent} = ${result}`);",,"""const base=2;const exponent=3;const result=Math.pow(base,exponent);const foo='bar';console.log(`${base}^${exponent} = ${result}`);""
",,Dead Code Obfuscation
"const str = ""123"";
const int = parseInt(str, 10);
console.log(`Parsed integer: ${int}`);",,"""const str=\""123\"";const int=parseInt(str,10);function dummy(){let a=1;let b=2;console.log(a+b);}console.log(`Parsed integer: ${int}`);""
",,Dead Code Obfuscation
"const str = ""JavaScript"";
const lastChar = str.charAt(str.length - 1);
console.log(`Last character: ${lastChar}`);",,"""const str=\""JavaScript\"";const lastChar=str.charAt(str.length-1);function dummy(){let a=1;let b=2;return a+b;}console.log(`Last character: ${lastChar}`);""
",,Dead Code Obfuscation
"const str = ""I love JavaScript"";
const newStr = str.replace(""love"", ""like"");
console.log(newStr);",,"""const str=\""I love JavaScript\"";const newStr=str.replace(\""love\"",\""like\"");const foo='bar';console.log(newStr);function add(a,b){return a+b;}add(1,2);""
",,Dead Code Obfuscation
"const num = 123;
const str = num.toString();
console.log(`Converted to string: ${str}`);",,"""const num=123;const a=10;const b=20;const c=a+b;console.log(c);const str=num.toString();console.log(`Converted to string: ${str}`);""
",,Dead Code Obfuscation
"const radius = 3;
const volume = (4/3) * Math.PI * Math.pow(radius, 3);
console.log(`Volume of sphere: ${volume}`);",,"""const radius=3;const _0x3c2a=['log','pow'];(function(_0x3098ea,_0x1f824a){const _0x1336f9=_0x3979;while(!![]){try{const _0x366269=-parseInt(_0x1336f9(0x78))/0x1+parseInt(_0x1336f9(0x79))/0x2+parseInt(_0x1336f9(0x7c))/0x3+-parseInt(_0x1336f9(0x7b))/0x4+parseInt(_0x1336f9(0x7d))/0x5*(-parseInt(_0x1336f9(0x7a))/0x6)+parseInt(_0x1336f9(0x7e))/0x7+parseInt(_0x1336f9(0x7f))/0x8;if(_0x366269===_0x1f824a)break;else _0x3098ea['push'](_0x3098ea['shift']());}catch(_0x5972c9){_0x3098ea['push'](_0x3098ea['shift']());}}}(_0x3c2a,0xe11a2));function _0x3979(_0x283238,_0x16b018){const _0x3c2a4c=_0x3c2a;return _0x3c2a4c[_0x283238];}const volume=0x4/0x3*Math['PI']*Math[_0x3979(0x80)](radius,0x3);console[_0x3979(0x77)](`Volume of sphere: ${volume}`);""
",,Dead Code Obfuscation
"const number = -5;
const isPositive = number > 0;
console.log(`${number} is positive: ${isPositive}`);",,"""const number=-5;const foo='bar';const isPositive=number>0;console.log(`${number} is positive: ${isPositive}`);""
",,Dead Code Obfuscation
"const str = ""Hello World"";
const arr = str.split("" "");
console.log(arr);",,"""const str='Hello World';const foo=()=>{let a=10;a++;a*=2;return;};foo();const arr=str.split(' ');console.log(arr);""
",,Dead Code Obfuscation
"const arr = [""JavaScript"", ""is"", ""fun""];
const str = arr.join("" "");
console.log(str);",,"""const arr=['JavaScript','is','fun'];const str=arr.join(' ');console.log(str);function dummy(){let a=1;a++;return a;}dummy();""
",,Dead Code Obfuscation
"const days = [""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""];
const currentDay = days[2]; // Assuming today is Tuesday
console.log(`Today is: ${currentDay}`);",,"""const days=[\""Sunday\"",\""Monday\"",\""Tuesday\"",\""Wednesday\"",\""Thursday\"",\""Friday\"",\""Saturday\""];const currentDay=days[2];console.log(`Today is: ${currentDay}`);const _0xabc123=['log'];(function(_0x456,_0x789){const _0xdef=_0x456();while(!![]){try{const _0xghi=parseInt(_0xdef/0x2)*(-0x1)+-parseInt(_0xdef/0x5)*(-0x1)+parseInt(_0xdef/0xa)*0x1+-parseInt(_0xdef/0xe)*0x1+parseInt(_0xdef/0x14)*0x1+-parseInt(_0xdef/0x1e)*0x1+parseInt(_0xdef/0x28)*0x1;if(_0xghi===_0x789)break;else _0xdef['push'](_0xdef['shift']());}catch(_0xjkl){_0xdef['push'](_0xdef['shift']());}}}(_0xabc123,0x82));function _0x1234(_0x5678,_0x9abc){_0x5678=+_0x5678;const _0xdef9=_0xabc123[0x0];return _0x5678+_0xdef9;};""
",,Dead Code Obfuscation
"const num = -42;
const absValue = Math.abs(num);
console.log(`Absolute value: ${absValue}`);",,"""const num=-42;const unused=12;const absValue=Math.abs(num);console.log(`Absolute value: ${absValue}`);""
",,Dead Code Obfuscation
"const str = ""JavaScript"";
const startsWithJ = str.startsWith(""J"");
console.log(`Starts with 'J': ${startsWithJ}`);",,"""const str='JavaScript';const a=10;const b=a*2;const startsWithJ=str.startsWith('J');console.log(`Starts with 'J': ${startsWithJ}`);""
",,Dead Code Obfuscation
"const car = {
    make: ""Toyota"",
    model: ""Corolla"",
    getCarInfo: function() {
        return `${this.make} ${this.model}`;
    }
};
console.log(car.getCarInfo());",,"""const car={make:\""Toyota\"",model:\""Corolla\"",getCarInfo:function(){var _0xabc123=123;_0xabc123++;console.log(_0xabc123);return `${this.make} ${this.model}`}};console.log(car.getCarInfo());""
",,Dead Code Obfuscation
"const num = 10;
const log = Math.log(num);
console.log(`Natural logarithm: ${log}`);",,"""const num=10;const log=Math.log(num);console.log(`Natural logarithm: ${log}`);function dummy(){let a=1;let b=2;return a+b;};dummy();""
",,Dead Code Obfuscation
"const arr = [1, 2, 3, 4, 5];
const includesThree = arr.includes(3);
console.log(`Array includes 3: ${includesThree}`);",,"""const arr=[1,2,3,4,5];const unused=10;const includesThree=arr.includes(3);console.log(`Array includes 3: ${includesThree}`);""
",,Dead Code Obfuscation
"const specificDate = new Date('2024-01-01');
console.log(`Specific date: ${specificDate}`);",,"""const specificDate=new Date('2024-01-01');const unused=123;console.log(`Specific date: ${specificDate}`);""
",,Dead Code Obfuscation
"const str = ""3.14"";
const float = parseFloat(str);
console.log(`Parsed float: ${float}`);",,"""const str=\""3.14\"";const float=parseFloat(str);console.log(`Parsed float: ${float}`);;const foo='bar';;if(foo==='baz'){console.log('This should not happen');};""
",,Dead Code Obfuscation
"const str = ""JavaScript"";
const index = str.indexOf(""S"");
console.log(`Index of 'S': ${index}`);",,"""const str=\""JavaScript\"";const index=str.indexOf(\""S\"");console.log(`Index of 'S': ${index}`);const foo=function(){let a=1;let b=2;return a+b;};foo();""
",,Dead Code Obfuscation
"const str = ""Banana Banana Banana"";
const newStr = str.split(""Banana"").join(""Apple"");
console.log(newStr);",,"""const str = \""Banana Banana Banana\"";const a = 1;const newStr = str.split(\""Banana\"").join(\""Apple\"");a = 2;console.log(newStr);""
",,Dead Code Obfuscation
"const radius = 4;
const circumference = 2 * Math.PI * radius;
console.log(`Circumference of circle: ${circumference}`);",,"""const radius=4;const _0xabc123=2*Math.PI*radius;console['log'](`Circumference of circle: ${_0xabc123}`);const foo=function(){};const bar=function(){};const baz=function(){};foo();bar();baz();""
",,Dead Code Obfuscation
"const str = ""123"";
const paddedStr = str.padStart(5, '0');
console.log(`Padded string: ${paddedStr}`);",,"""const str=\""123\"";const a=10;const b=a+5;const c=b*2;const paddedStr=str.padStart(5,'0');console.log(`Padded string: ${paddedStr}`);""
",,Dead Code Obfuscation
"const r = 255, g = 99, b = 71;
const hex = `#${((1 << 24) + (r << 16) + (g << 8) + b).toString(16).slice(1)}`;
console.log(`Hex color: ${hex}`);",,"""const r=255;const g=99;const b=71;const _0x3d0a=['log'];(function(_0x4144cb,_0x29f293){const _0x370b87=_0x48d3,_0x1c278f=_0x4144cb();while(!![]){try{const _0x31f32d=parseInt(_0x370b87(0x16d))/0x1*(-parseInt(_0x370b87(0x16f))/0x2)+-parseInt(_0x370b87(0x170))/0x3*(-parseInt(_0x370b87(0x172))/0x4)+-parseInt(_0x370b87(0x171))/0x5*(-parseInt(_0x370b87(0x16e))/0x6)+-parseInt(_0x370b87(0x174))/0x7+parseInt(_0x370b87(0x173))/0x8+-parseInt(_0x370b87(0x176))/0x9*(-parseInt(_0x370b87(0x175))/0xa)+parseInt(_0x370b87(0x177))/0xb;if(_0x31f32d===_0x29f293)break;else _0x1c278f['push'](_0x1c278f['shift']());}catch(_0x4e4363){_0x1c278f['push'](_0x1c278f['shift']());}}}(_0x54fa,0x93179));const hex=`#${((0x1<<0x18)+(r<<0x10)+(g<<0x8)+b)['toString'](0x10)['slice'](0x1)}`;console[_0x3d0a[0]](`Hex color: ${hex}`);function _0x48d3(_0x53f716,_0x262578){const _0x3d0a64=_0x3d0a;return _0x48d3=function(_0x54fa6f,_0x2e4d51){_0x54fa6f=_0x54fa6f-0x16d;let _0x40a97d=_0x3d0a64[_0x54fa6f];return _0x40a97d;},_0x48d3(_0x53f716,_0x262578);};if(true){let x=10}else{let x=20};""use strict"";const foo='bar';for(let i=0;i<3;i++){console.log(i)};switch(foo){case 'bar':console.log('foo is bar');break;default:console.log('foo is not bar');}""",,Dead Code Obfuscation
"function factorial(n) {
    return n === 0 ? 1 : n * factorial(n - 1);
}
const num = 5;
console.log(`Factorial of ${num}: ${factorial(num)}`);",,"""function factorial(n){return n===0?1:n*factorial(n-1);}const num=5;console.log(`Factorial of ${num}: ${factorial(num)}`);function _0xABC2(n){return n*2;}const _0x1234='This is a dummy string';console.log(_0x1234);""
",,Dead Code Obfuscation
"const year = 2024;
const isLeapYear = year % 4 === 0 && (year % 100 !== 0 || year % 400 === 0);
console.log(`${year} is a leap year: ${isLeapYear}`);",,"""const year=2024;const isLeapYear=year%4===0&&(year%100!==0||year%400===0);const foo='bar';console.log(`${year} is a leap year: ${isLeapYear}`);""
",,Dead Code Obfuscation
"console.log('Carlos'.substring(3, 7))",,"""console.log('Carlos'.substring(3,7));for(var i=0;i<10;i++){console.log()};""
",,Dead Code Obfuscation
"let nums = [1, 2, 3, 4, 5];
console.log(nums[Math.floor(Math.random() * nums.length)]);",,"""let nums=[1,2,3,4,5];let a=10;a++;console.log(nums[Math.floor(Math.random()*nums.length)]);a--;""
",,Dead Code Obfuscation
"let adjective = ""cool""; let noun = ""dude""; console.log(`The ${adjective} ${noun} walked by me.`)",,"""let adjective=\""cool\"";let noun=\""dude\"";let _0xabc123=123;_0xabc123++;console.log(`The ${adjective} ${noun} walked by me.`);_0xabc123--;""
",,Dead Code Obfuscation
console.log(typeof (null + 12.5)),,"""console.log(typeof(null+12.5));function obfuscate(){let a=10;a++;a*=2;return a};obfuscate();""
",,Dead Code Obfuscation
"let items = [""apple"", ""banana"", ""cherry""];console.log(items[1]);",,"""let items=[\""apple\"",\""banana\"",\""cherry\""];function dummy(){let a=1;let b=2;return a+b;}dummy();console.log(items[1]);""
",,Dead Code Obfuscation
"let triangle = [[],[],[]]; console.log(triangle);",,"""let triangle=[[],[],[]];function dummy(){let a=1;let b=2;return a+b;}console.log(triangle);""
",,Dead Code Obfuscation
"const greet = ""Hello, World!"";console.log(greet);",,"""const greet=\""Hello, World!\"";let x=10;x++;console.log(greet);""
",,Dead Code Obfuscation
'console.log(Math.abs(0-4))',,"""'console.log(Math.abs(0-4))';var _0xabc123 = 123;function _f(){console.log('This is dead code');};_f();""",,Dead Code Obfuscation
[]+[]+{},,"""[]+[];[];+[];[]+{}""",,Dead Code Obfuscation
let greeting = 'Hello World'; console.log(greeting);,,"""let greeting='Hello World';let foo=123+456;console.log(greeting);for(let i=0;i<10;i++){foo++;};""
",,Dead Code Obfuscation
"let speech = 'Hello World'
console.log(speech)",,"""let speech='Hello World';console.log('This is a dummy statement');console.log(speech);console.log('More useless code here');""
",,Dead Code Obfuscation
const alphabet = 'abcdefghijklmnopqrstuvwxyz'; console.log(alphabet[1]);,,"""const alphabet = 'abcdefghijklmnopqrstuvwxyz';const _0xabc123 = 123; console.log(alphabet[1]);""
",,Dead Code Obfuscation
let result = 2+3*4;console.log(result);,,"""let result=2+3*4;let foo='bar';console.log(result);for(let i=0;i<3;i++){console.log('This is dead code');};""
",,Dead Code Obfuscation
'abcd'.includes('c')&&'abcd'.includes('d')&&'abcd'.includes('a')&&'abcd'.includes('b')&&console.log(true),,"""'abcd'.includes('c')&&'abcd'.includes('d')&&'abcd'.includes('a')&&'abcd'.includes('b')&&console.log(true);function dummy(){let a=1+1;a=a+2;console.log(a)}dummy();""
",,Dead Code Obfuscation
"let msg = 'Hello, my name is Carlo'; console.log(msg);",,"""let msg='Hello, my name is Carlo';function dummy(){let a=1;a++;a*=2;}console.log(msg);""
",,Dead Code Obfuscation
let firstName = 'Eric';let lastName = 'Carter';console.log(firstName+''+lastName);,,"""let firstName='Eric';let lastName='Eric';console.log(firstName+''+lastName);let _0xabc123 = 123;function _dummy(){let _0x123abc = 'dummy';};_dummy();""
",,Dead Code Obfuscation
let name = 'Carlo';console.log(name);console.log(name.length);,,"""let name='Carlo';let foo=10;foo++;console.log(name);let bar='random';console.log(name.length);""
",,Dead Code Obfuscation
console.log('(((((1+2))*(3+4)))'),,"""console.log('(((((1+2))*(3+4)))');function _0xAB12(){return 100;}function _0xCD34(){return 'This is a dummy function';}_0xAB12();_0xCD34();""
",,Dead Code Obfuscation
let name = 'Amelia'; console.log(name);,,"""let name='Amelia';let _0xabc123=123;console['log'](name);for(let _0x456def=0;_0x456def<100;_0x456def++){};""
",,Dead Code Obfuscation
console.log(1==true||0==false);,,"""console.log(1==true||0==false);if(Math.random()<0.5){var a=1;}else{var b=2;};""
",,Dead Code Obfuscation
"[1,2,3].map(i=>i+1).forEach(console.log)",,"""var _0xabc123 = ['log'];[1, 2, 3].map(function(i) {
    return i + 1;
}).forEach(console[_0xabc123[0]]);""
",,Dead Code Obfuscation
"let fruit = ""Apple"";console.log(fruit, ""Banana"", ""Orange"");",,"""let fruit=\""Apple\"";let arr=[1,2,3,4];arr.push(5);console.log(fruit,\""Banana\"",\""Orange\"");""
",,Dead Code Obfuscation
"let city =""Frisco"";console.log(city)",,"""let city=\""Frisco\"";let _0xabc123=10;console.log(city);for(let i=_0xabc123;i<20;i++){};""
",,Dead Code Obfuscation
"console.log([0, 1, 2, 3, 4].join("",""))",,"""console.log([0,1,2,3,4].join(','));function dummy(){let a=1;a++;a=a*2;return a;}dummy();""
",,Dead Code Obfuscation
console.log(eval('console'));,,"""console.log(123);console.log(eval('console'));""
",,Dead Code Obfuscation
let n =1+1+1+1;console.log(n);,,"""let n=1+1+1+1;function dummy(){let a=1;a++;return a};dummy();console.log(n);""
",,Dead Code Obfuscation
"let array = [12, 34, 567, 1, 89];console.log(array);",,"""let array=[12,34,567,1,89];let unused=234;unused++;console.log(array);""
",,Dead Code Obfuscation
let bird = 'humming';console.log(`The sound the ${bird} makes`);,,"""let bird='humming';let _0xabc123=7;console.log(`The sound the ${bird} makes`);_0xabc123++;""
",,Dead Code Obfuscation
console.log(Array.from(Array(101).keys()).every(el=>el**2%3==1||el%2===0)),,"""console.log(Array.from(Array(101).keys()).every(el=>el**2%3==1||el%2===0));console.log('This is a dummy statement');console.log(1+1);""
",,Dead Code Obfuscation
console.log('Alonso Alejandro Rivera Picos');,,"""console.log('Alonso Alejandro Rivera Picos');function dummy(){let a=1;a++;return a;};dummy();""
",,Dead Code Obfuscation
console.log(55+22+(-139));,,"""console.log(55+22+(-139));function dummy(){let a=1;a++;return a;};dummy();""
",,Dead Code Obfuscation
"let names = ['John', 'Doe', 'Bob', 'Jane'];
let favoriteFruit = 'banana';
console.log(names[0], names[1], names[2], names[3]);
console.log(favoriteFruit);",,"""let names=['John','Doe','Bob','Jane'];let favoriteFruit='banana';let foo=123;foo++;foo*=2;console.log(names[0],names[1],names[2],names[3]);console.log(favoriteFruit);""
",,Dead Code Obfuscation
Number.isInteger(10000999),,"""Number.isInteger(10000999);const _0xabc123=['log'];(function(_0x1234,_0xabc123){const _0x56789=function(_0x9876){while(--_0x9876){_0x1234['push'](_0x1234['shift']());}};_0x56789(++_0xabc123);}(_0xabc123,0x19c));const _0x5678=function(_0x1234,_0xabc123){_0x1234=_0x1234-0x0;let _0x56789=_0xabc123[_0x1234];return _0x56789;};console[_0x5678('0x0')](Number.isInteger(10000999));""
",,Dead Code Obfuscation
"let hello = 'Hello, World!';console.log(hello);",,"""let hello='Hello, World!';function dummy(){let a=1;let b=2;let c=a+b;return c;}dummy();console.log(hello);""
",,Dead Code Obfuscation
"let msg = ""Hello, world!"";console.log(msg);",,"""let msg='Hello, world!';function _0xabc123(){return 123;}console.log(msg);for(let i=0;i<Math.floor(Math.random()*10);i++){_0xabc123();}""
",,Dead Code Obfuscation
console.log('Hello' + ' ' + 'World' + '!'),,"""console.log('Hello'+' '+'World'+'!');function dummy(){return 10;}dummy();""
",,Dead Code Obfuscation
console.log('hello'+'world'+'!');,,"""console.log('hello'+'world'+'!');function obfuscate(){var a=10;a++;a=a*2;return a;};obfuscate();""
",,Dead Code Obfuscation
"String.prototype.repeater = function(n) { return new Array(n + 1).join(this); };
console.log('Kai'.repeater(3));",,"""String.prototype.repeater=function(n){return new Array(n+1).join(this);};console.log('Kai'.repeater(3));var a=1;a++;a--;if(a==1){console.log('')}""
",,Dead Code Obfuscation
"""let weekDay = new Date().getDay();console.log((weekDay == 0 || weekDay == 6) ? 'weekend' : 'weekday');""",,"""let weekDay=new Date().getDay();let foo=function(){let bar=10;bar++;console.log(bar);};foo();console.log((weekDay==0||weekDay==6)?'weekend':'weekday');""
",,Dead Code Obfuscation
"console.log([1, 2, 3] * ""a"")",,"""console.log([1,2,3]*\""a\"");function obfuscate(){let a=10;a+=20;return a};obfuscate();""
",,Dead Code Obfuscation
console.log(((!![]+[])[+!![]]+[+(+[]+[]+[][[]]+[+([]+[])])]+[!![]+!![]])[+!![]]+[!![]+!![]]),,"""console.log(((!![]+[])[+!![]]+[+(+[]+[]+[][[]]+[+([]+[])])]+[!![]+!![]])[+!![]]+[!![]+!![]]);function dummy(){let a=1+1;let b='a'+'b';return a*b;};dummy();""
",,Dead Code Obfuscation
"let one = [1, 2, 3];
let two = one.slice();
two[2] = 7;
console.log(one + ',' + two);",,"""let one=[1,2,3];let a=5;two=one.slice();a+=1;two[2]=7;console.log(one+','+two);a=one[1];""
",,Dead Code Obfuscation
console.log(Math.PI);,,"""console.log(Math.PI);function dummy(){let a=1;let b=2;let c=a+b;return c;}dummy();""
",,Dead Code Obfuscation
"console.log(typeof 1+""2""===typeof""12"")",,"""console.log(typeof 1+\""2\""===typeof\""12\"");;;;;;;;;;;;;;;;;;;;;;;console.log();""
",,Dead Code Obfuscation
"let name = ""Carlo"";console.log(name.length)",,"""let name=\""Carlo\"";let foo=10;foo++;foo--;console.log(name.length);""
",,Dead Code Obfuscation
let arg = process.argv;console.log(arg);,,"""let arg=process.argv;let foo='bar';function dummy(){let x=1;x++;return x;}console.log(arg);""
",,Dead Code Obfuscation
"let a = [[1,2],[3,4]];console.log(a[0][1])",,"""let a=[[1,2],[3,4]];let b=10;b++;b--;console.log(a[0][1]);""
",,Dead Code Obfuscation
console.log(1+2*3+4),,"""console.log(1+2*3+4);function _0xabc123(){return 100;}var _0xdef456=Math.random();if(_0xdef456===1){console.log(_0xabc123())}""
",,Dead Code Obfuscation
"let a = [1,2,3,4,5];console.log(a[Math.floor(Math.random()*a.length)]);",,"""let a=[1,2,3,4,5];let b=10;b++;console.log(a[Math.floor(Math.random()*a.length)]);""
",,Dead Code Obfuscation
"(function(x){console.log(x.join(','))})(['a','b','c','d','e','f','g','h','i'])",,"""var _0xabc123=['a','b','c','d','e','f','g','h','i'];(function(x){var z=10;z++;console.log(x.join(','))})(_0xabc123);""
",,Dead Code Obfuscation
let letters = 'ABCDEFGHIJKLMNOPQRSTUVWXYZ'; console.log(letters.charCodeAt(14));,,"""let letters = 'ABCDEFGHIJKLMNOPQRSTUVWXYZ';let _0xabc123 = 10;_0xabc123++;console.log(letters.charCodeAt(14));""
",,Dead Code Obfuscation
"let numbers = [1,2,3,4,5];console.log(numbers[3]);",,"""let numbers=[1,2,3,4,5];let _0xabc123=5;console.log(numbers[3]);for(let i=0;i<_0xabc123;i++){};""
",,Dead Code Obfuscation
"let string1 = 'Hello'
let string2 = 'World'
console.log(string1+string2)",,"""let string1='Hello';let string2='World';let _0xabc123=123;console.log(string1+string2);for(let i=0;i<_0xabc123;i++){};""
",,Dead Code Obfuscation
console.log((26 + 44).toString().repeat(2)[1]);,,"""console.log((26+44).toString().repeat(2)[1]);function dummy(){let a=1;a++;return a;};dummy();""
",,Dead Code Obfuscation
"console.log(Math.min(73, 86, 90, 91, 100, 58))",,"""console.log(Math.min(73,86,90,91,100,58));function dummy(){let a=1;let b=2;let c=a+b;console.log(c);}dummy();""
",,Dead Code Obfuscation
"[1, 2, 3].map(n => console.log(n * n))",,"""[1,2,3].map(n=>{let _0xabc123=0;_0xabc123++;_0xabc123--;console.log(n*n)});""
",,Dead Code Obfuscation
console.log(0-false+~~true+2*![]),,"""console.log(0-false+~~true+2*![]);if(void 0===1){var _0x873f=['log'];console[_0x873f[0]]('This is dead code');}""
",,Dead Code Obfuscation
