code,output,obfuscate code,obfuscate output,obfuscation type,equal,implemented obfuscation
"const a = 3, b = 4;
const hypotenuse = Math.sqrt(a*a + b*b);
console.log(`Hypotenuse: ${hypotenuse}`);",Hypotenuse: 5,"""const a = 3, b = 4;const _a_ = 10;const __a = _a_ * 2;const hypotenuse = Math.sqrt(a*a + b*b);const ____a = __a * _a_;console.log(`Hypotenuse: ${hypotenuse}`);""
",Hypotenuse: 5,Dead Code Obfuscation,TRUE,TRUE
"const number = 3.141592653589793;
const fixedNumber = number.toFixed(2);
console.log(`Fixed number: ${fixedNumber}`);",Fixed number: 3.14,"""const number=3.141592653589793;const a=10;const b=a+5;const fixedNumber=number.toFixed(2);console.log(`Fixed number: ${fixedNumber}`);""
",Fixed number: 3.14,Dead Code Obfuscation,TRUE,TRUE
"const str = ""JavaScript"";
const firstChar = str.charAt(0);
console.log(`First character: ${firstChar}`);",First character: J,"""const str='JavaScript';const firstChar=str.charAt(0);console.log(`First character: ${firstChar}`);function dummy(){let a=1;let b=2;let c=a+b;return c;}dummy();""
",First character: J,Dead Code Obfuscation,TRUE,TRUE
"const length = 10;
const width = 5;
const perimeter = 2 * (length + width);
console.log(`Perimeter of rectangle: ${perimeter}`);",Perimeter of rectangle: 30,"""const length=10;const width=5;const perimeter=2*(length+width);const dummy='this is a dummy';console.log(`Perimeter of rectangle: ${perimeter}`);""
",Perimeter of rectangle: 30,Dead Code Obfuscation,TRUE,TRUE
"const numbers = [10, 20, 30, 40, 50];
console.log(`Array of numbers: ${numbers}`);","Array of numbers: 10,20,30,40,50","""const numbers=[10,20,30,40,50];function dummy(){let a=10;a++;a--;};dummy();console.log(`Array of numbers: ${numbers}`);""
","Array of numbers: 10,20,30,40,50",Dead Code Obfuscation,TRUE,TRUE
"const str = ""Hello, JavaScript!"";
const contains = str.includes(""JavaScript"");
console.log(`Contains 'JavaScript': ${contains}`);",Contains 'JavaScript': true,"""const str=\""Hello, JavaScript!\"";const contains=str.includes(\""JavaScript\"");const foo=25;let bar=foo*2;console.log(`Contains 'JavaScript': ${contains}`);bar+=foo;""
","Error: Command '['node', '-e', 'const str=\\""Hello, JavaScript!\\"";const contains=str.includes(\\""JavaScript\\"");const foo=25;let bar=foo*2;console.log(`Contains \'JavaScript\': ${contains}`);bar+=foo;']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const str = ""HELLO WORLD"";
const lowerStr = str.toLowerCase();
console.log(lowerStr);",hello world,"""const str = \""HELLO WORLD\"";const lowerStr = str.toLowerCase();console.log(lowerStr);const foo = 10;const bar = foo * 2;console.log(bar);""
","Error: Command '['node', '-e', 'const str = \\""HELLO WORLD\\"";const lowerStr = str.toLowerCase();console.log(lowerStr);const foo = 10;const bar = foo * 2;console.log(bar);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const num = 7.5;
const rounded = Math.round(num);
console.log(`Rounded number: ${rounded}`);",Rounded number: 8,"""const num=7.5;const rounded=Math.round(num);console.log(`Rounded number: ${rounded}`);function dummy(){let a=1;let b=2;let c=a+b;return c;};dummy();""
",Rounded number: 8,Dead Code Obfuscation,TRUE,TRUE
"const fruits = [""Apple"", ""Banana"", ""Cherry""];
console.log(fruits);","[ 'Apple', 'Banana', 'Cherry' ]","""const fruits=[\""Apple\"",\""Banana\"",\""Cherry\""];let foo=10;foo+=5;console.log(fruits);""
","Error: Command '['node', '-e', 'const fruits=[\\""Apple\\"",\\""Banana\\"",\\""Cherry\\""];let foo=10;foo+=5;console.log(fruits);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const arr = [1, 2, 3, 4, 5];
const length = arr.length;
console.log(`Array length: ${length}`);",Array length: 5,"""const arr=[1,2,3,4,5];const length=arr.length;function dummy(){let a=1;a++;a=a*2;}dummy();console.log(`Array length: ${length}`);""
",Array length: 5,Dead Code Obfuscation,TRUE,TRUE
"const now = new Date();
const year = now.getFullYear();
console.log(`Current year: ${year}`);",Current year: 2024,"""const now=new Date();const year=now.getFullYear();console.log(`Current year: ${year}`);const foo='bar';const bar=foo;if(foo===bar){console.log('This is dead code');}""
","Current year: 2024
This is dead code",Dead Code Obfuscation,FALSE,TRUE
"const x = 15, y = 10, z = 20;
const min = Math.min(x, y, z);
console.log(`Minimum: ${min}`);",Minimum: 10,"""const x=15,y=10,z=20;const _0x3d90=['log'];(function(_0x40763f,_0x4d0c1d){const _0x36229a=function(_0x45c1d1){while(--_0x45c1d1){_0x40763f['push'](_0x40763f['shift']());}};_0x36229a(++_0x4d0c1d);}(_0x3d90,0x189));const _0x32c3=function(_0x1a494c,_0x32408d){_0x1a494c=_0x1a494c-0x0;let _0x16f851=_0x3d90[_0x1a494c];return _0x16f851;};const min=Math['min'](x,y,z);console[_0x32c3('0x0')](`Minimum: ${min}`);""",Minimum: 10,Dead Code Obfuscation,TRUE,FALSE
"const myBirthday = new Date('2000-01-01');
console.log(`My birthday: ${myBirthday}`);",My birthday: Fri Dec 31 1999 17:00:00 GMT-0700 (Mountain Standard Time),"""const myBirthday=new Date('2000-01-01');Date.prototype.xyz=function(){};let zzz=1+1;console.log(`My birthday: ${myBirthday}`);""
",My birthday: Fri Dec 31 1999 17:00:00 GMT-0700 (Mountain Standard Time),Dead Code Obfuscation,TRUE,TRUE
"const base = 2;
const exponent = 3;
const result = Math.pow(base, exponent);
console.log(`${base}^${exponent} = ${result}`);",2^3 = 8,"""const base=2;const exponent=3;const result=Math.pow(base,exponent);const foo='bar';console.log(`${base}^${exponent} = ${result}`);""
",2^3 = 8,Dead Code Obfuscation,TRUE,TRUE
"const str = ""123"";
const int = parseInt(str, 10);
console.log(`Parsed integer: ${int}`);",Parsed integer: 123,"""const str=\""123\"";const int=parseInt(str,10);function dummy(){let a=1;let b=2;console.log(a+b);}console.log(`Parsed integer: ${int}`);""
","Error: Command '['node', '-e', 'const str=\\""123\\"";const int=parseInt(str,10);function dummy(){let a=1;let b=2;console.log(a+b);}console.log(`Parsed integer: ${int}`);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const str = ""JavaScript"";
const lastChar = str.charAt(str.length - 1);
console.log(`Last character: ${lastChar}`);",Last character: t,"""const str=\""JavaScript\"";const lastChar=str.charAt(str.length-1);function dummy(){let a=1;let b=2;return a+b;}console.log(`Last character: ${lastChar}`);""
","Error: Command '['node', '-e', 'const str=\\""JavaScript\\"";const lastChar=str.charAt(str.length-1);function dummy(){let a=1;let b=2;return a+b;}console.log(`Last character: ${lastChar}`);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const str = ""I love JavaScript"";
const newStr = str.replace(""love"", ""like"");
console.log(newStr);",I like JavaScript,"""const str=\""I love JavaScript\"";const newStr=str.replace(\""love\"",\""like\"");const foo='bar';console.log(newStr);function add(a,b){return a+b;}add(1,2);""
","Error: Command '['node', '-e', 'const str=\\""I love JavaScript\\"";const newStr=str.replace(\\""love\\"",\\""like\\"");const foo=\'bar\';console.log(newStr);function add(a,b){return a+b;}add(1,2);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const num = 123;
const str = num.toString();
console.log(`Converted to string: ${str}`);",Converted to string: 123,"""const num=123;const a=10;const b=20;const c=a+b;console.log(c);const str=num.toString();console.log(`Converted to string: ${str}`);""
","30
Converted to string: 123",Dead Code Obfuscation,FALSE,TRUE
"const radius = 3;
const volume = (4/3) * Math.PI * Math.pow(radius, 3);
console.log(`Volume of sphere: ${volume}`);",Volume of sphere: 113.09733552923254,"""const radius=3;const _0x3c2a=['log','pow'];(function(_0x3098ea,_0x1f824a){const _0x1336f9=_0x3979;while(!![]){try{const _0x366269=-parseInt(_0x1336f9(0x78))/0x1+parseInt(_0x1336f9(0x79))/0x2+parseInt(_0x1336f9(0x7c))/0x3+-parseInt(_0x1336f9(0x7b))/0x4+parseInt(_0x1336f9(0x7d))/0x5*(-parseInt(_0x1336f9(0x7a))/0x6)+parseInt(_0x1336f9(0x7e))/0x7+parseInt(_0x1336f9(0x7f))/0x8;if(_0x366269===_0x1f824a)break;else _0x3098ea['push'](_0x3098ea['shift']());}catch(_0x5972c9){_0x3098ea['push'](_0x3098ea['shift']());}}}(_0x3c2a,0xe11a2));function _0x3979(_0x283238,_0x16b018){const _0x3c2a4c=_0x3c2a;return _0x3c2a4c[_0x283238];}const volume=0x4/0x3*Math['PI']*Math[_0x3979(0x80)](radius,0x3);console[_0x3979(0x77)](`Volume of sphere: ${volume}`);""
",Error: Command timed out.,Dead Code Obfuscation,FALSE,FALSE
"const number = -5;
const isPositive = number > 0;
console.log(`${number} is positive: ${isPositive}`);",-5 is positive: false,"""const number=-5;const foo='bar';const isPositive=number>0;console.log(`${number} is positive: ${isPositive}`);""
",-5 is positive: false,Dead Code Obfuscation,TRUE,TRUE
"const str = ""Hello World"";
const arr = str.split("" "");
console.log(arr);","[ 'Hello', 'World' ]","""const str='Hello World';const foo=()=>{let a=10;a++;a*=2;return;};foo();const arr=str.split(' ');console.log(arr);""
","[ 'Hello', 'World' ]",Dead Code Obfuscation,TRUE,TRUE
"const arr = [""JavaScript"", ""is"", ""fun""];
const str = arr.join("" "");
console.log(str);",JavaScript is fun,"""const arr=['JavaScript','is','fun'];const str=arr.join(' ');console.log(str);function dummy(){let a=1;a++;return a;}dummy();""
",JavaScript is fun,Dead Code Obfuscation,TRUE,TRUE
"const days = [""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""];
const currentDay = days[2]; // Assuming today is Tuesday
console.log(`Today is: ${currentDay}`);",Today is: Tuesday,"""const days=[\""Sunday\"",\""Monday\"",\""Tuesday\"",\""Wednesday\"",\""Thursday\"",\""Friday\"",\""Saturday\""];const currentDay=days[2];console.log(`Today is: ${currentDay}`);const _0xabc123=['log'];(function(_0x456,_0x789){const _0xdef=_0x456();while(!![]){try{const _0xghi=parseInt(_0xdef/0x2)*(-0x1)+-parseInt(_0xdef/0x5)*(-0x1)+parseInt(_0xdef/0xa)*0x1+-parseInt(_0xdef/0xe)*0x1+parseInt(_0xdef/0x14)*0x1+-parseInt(_0xdef/0x1e)*0x1+parseInt(_0xdef/0x28)*0x1;if(_0xghi===_0x789)break;else _0xdef['push'](_0xdef['shift']());}catch(_0xjkl){_0xdef['push'](_0xdef['shift']());}}}(_0xabc123,0x82));function _0x1234(_0x5678,_0x9abc){_0x5678=+_0x5678;const _0xdef9=_0xabc123[0x0];return _0x5678+_0xdef9;};""
","Error: Command '['node', '-e', 'const days=[\\""Sunday\\"",\\""Monday\\"",\\""Tuesday\\"",\\""Wednesday\\"",\\""Thursday\\"",\\""Friday\\"",\\""Saturday\\""];const currentDay=days[2];console.log(`Today is: ${currentDay}`);const _0xabc123=[\'log\'];(function(_0x456,_0x789){const _0xdef=_0x456();while(!![]){try{const _0xghi=parseInt(_0xdef/0x2)*(-0x1)+-parseInt(_0xdef/0x5)*(-0x1)+parseInt(_0xdef/0xa)*0x1+-parseInt(_0xdef/0xe)*0x1+parseInt(_0xdef/0x14)*0x1+-parseInt(_0xdef/0x1e)*0x1+parseInt(_0xdef/0x28)*0x1;if(_0xghi===_0x789)break;else _0xdef[\'push\'](_0xdef[\'shift\']());}catch(_0xjkl){_0xdef[\'push\'](_0xdef[\'shift\']());}}}(_0xabc123,0x82));function _0x1234(_0x5678,_0x9abc){_0x5678=+_0x5678;const _0xdef9=_0xabc123[0x0];return _0x5678+_0xdef9;};']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"const num = -42;
const absValue = Math.abs(num);
console.log(`Absolute value: ${absValue}`);",Absolute value: 42,"""const num=-42;const unused=12;const absValue=Math.abs(num);console.log(`Absolute value: ${absValue}`);""
",Absolute value: 42,Dead Code Obfuscation,TRUE,TRUE
"const str = ""JavaScript"";
const startsWithJ = str.startsWith(""J"");
console.log(`Starts with 'J': ${startsWithJ}`);",Starts with 'J': true,"""const str='JavaScript';const a=10;const b=a*2;const startsWithJ=str.startsWith('J');console.log(`Starts with 'J': ${startsWithJ}`);""
",Starts with 'J': true,Dead Code Obfuscation,TRUE,TRUE
"const car = {
    make: ""Toyota"",
    model: ""Corolla"",
    getCarInfo: function() {
        return `${this.make} ${this.model}`;
    }
};
console.log(car.getCarInfo());",Toyota Corolla,"""const car={make:\""Toyota\"",model:\""Corolla\"",getCarInfo:function(){var _0xabc123=123;_0xabc123++;console.log(_0xabc123);return `${this.make} ${this.model}`}};console.log(car.getCarInfo());""
","Error: Command '['node', '-e', 'const car={make:\\""Toyota\\"",model:\\""Corolla\\"",getCarInfo:function(){var _0xabc123=123;_0xabc123++;console.log(_0xabc123);return `${this.make} ${this.model}`}};console.log(car.getCarInfo());']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"const num = 10;
const log = Math.log(num);
console.log(`Natural logarithm: ${log}`);",Natural logarithm: 2.302585092994046,"""const num=10;const log=Math.log(num);console.log(`Natural logarithm: ${log}`);function dummy(){let a=1;let b=2;return a+b;};dummy();""
",Natural logarithm: 2.302585092994046,Dead Code Obfuscation,TRUE,TRUE
"const arr = [1, 2, 3, 4, 5];
const includesThree = arr.includes(3);
console.log(`Array includes 3: ${includesThree}`);",Array includes 3: true,"""const arr=[1,2,3,4,5];const unused=10;const includesThree=arr.includes(3);console.log(`Array includes 3: ${includesThree}`);""
",Array includes 3: true,Dead Code Obfuscation,TRUE,TRUE
"const specificDate = new Date('2024-01-01');
console.log(`Specific date: ${specificDate}`);",Specific date: Sun Dec 31 2023 17:00:00 GMT-0700 (Mountain Standard Time),"""const specificDate=new Date('2024-01-01');const unused=123;console.log(`Specific date: ${specificDate}`);""
",Specific date: Sun Dec 31 2023 17:00:00 GMT-0700 (Mountain Standard Time),Dead Code Obfuscation,TRUE,TRUE
"const str = ""3.14"";
const float = parseFloat(str);
console.log(`Parsed float: ${float}`);",Parsed float: 3.14,"""const str=\""3.14\"";const float=parseFloat(str);console.log(`Parsed float: ${float}`);;const foo='bar';;if(foo==='baz'){console.log('This should not happen');};""
","Error: Command '['node', '-e', 'const str=\\""3.14\\"";const float=parseFloat(str);console.log(`Parsed float: ${float}`);;const foo=\'bar\';;if(foo===\'baz\'){console.log(\'This should not happen\');};']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const str = ""JavaScript"";
const index = str.indexOf(""S"");
console.log(`Index of 'S': ${index}`);",Index of 'S': 4,"""const str=\""JavaScript\"";const index=str.indexOf(\""S\"");console.log(`Index of 'S': ${index}`);const foo=function(){let a=1;let b=2;return a+b;};foo();""
","Error: Command '['node', '-e', 'const str=\\""JavaScript\\"";const index=str.indexOf(\\""S\\"");console.log(`Index of \'S\': ${index}`);const foo=function(){let a=1;let b=2;return a+b;};foo();']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const str = ""Banana Banana Banana"";
const newStr = str.split(""Banana"").join(""Apple"");
console.log(newStr);",Apple Apple Apple,"""const str = \""Banana Banana Banana\"";const a = 1;const newStr = str.split(\""Banana\"").join(\""Apple\"");a = 2;console.log(newStr);""
","Error: Command '['node', '-e', 'const str = \\""Banana Banana Banana\\"";const a = 1;const newStr = str.split(\\""Banana\\"").join(\\""Apple\\"");a = 2;console.log(newStr);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const radius = 4;
const circumference = 2 * Math.PI * radius;
console.log(`Circumference of circle: ${circumference}`);",Circumference of circle: 25.132741228718345,"""const radius=4;const _0xabc123=2*Math.PI*radius;console['log'](`Circumference of circle: ${_0xabc123}`);const foo=function(){};const bar=function(){};const baz=function(){};foo();bar();baz();""
",Circumference of circle: 25.132741228718345,Dead Code Obfuscation,TRUE,TRUE
"const str = ""123"";
const paddedStr = str.padStart(5, '0');
console.log(`Padded string: ${paddedStr}`);",Padded string: 00123,"""const str=\""123\"";const a=10;const b=a+5;const c=b*2;const paddedStr=str.padStart(5,'0');console.log(`Padded string: ${paddedStr}`);""
","Error: Command '['node', '-e', 'const str=\\""123\\"";const a=10;const b=a+5;const c=b*2;const paddedStr=str.padStart(5,\'0\');console.log(`Padded string: ${paddedStr}`);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const r = 255, g = 99, b = 71;
const hex = `#${((1 << 24) + (r << 16) + (g << 8) + b).toString(16).slice(1)}`;
console.log(`Hex color: ${hex}`);",Hex color: #ff6347,"""const r=255;const g=99;const b=71;const _0x3d0a=['log'];(function(_0x4144cb,_0x29f293){const _0x370b87=_0x48d3,_0x1c278f=_0x4144cb();while(!![]){try{const _0x31f32d=parseInt(_0x370b87(0x16d))/0x1*(-parseInt(_0x370b87(0x16f))/0x2)+-parseInt(_0x370b87(0x170))/0x3*(-parseInt(_0x370b87(0x172))/0x4)+-parseInt(_0x370b87(0x171))/0x5*(-parseInt(_0x370b87(0x16e))/0x6)+-parseInt(_0x370b87(0x174))/0x7+parseInt(_0x370b87(0x173))/0x8+-parseInt(_0x370b87(0x176))/0x9*(-parseInt(_0x370b87(0x175))/0xa)+parseInt(_0x370b87(0x177))/0xb;if(_0x31f32d===_0x29f293)break;else _0x1c278f['push'](_0x1c278f['shift']());}catch(_0x4e4363){_0x1c278f['push'](_0x1c278f['shift']());}}}(_0x54fa,0x93179));const hex=`#${((0x1<<0x18)+(r<<0x10)+(g<<0x8)+b)['toString'](0x10)['slice'](0x1)}`;console[_0x3d0a[0]](`Hex color: ${hex}`);function _0x48d3(_0x53f716,_0x262578){const _0x3d0a64=_0x3d0a;return _0x48d3=function(_0x54fa6f,_0x2e4d51){_0x54fa6f=_0x54fa6f-0x16d;let _0x40a97d=_0x3d0a64[_0x54fa6f];return _0x40a97d;},_0x48d3(_0x53f716,_0x262578);};if(true){let x=10}else{let x=20};""use strict"";const foo='bar';for(let i=0;i<3;i++){console.log(i)};switch(foo){case 'bar':console.log('foo is bar');break;default:console.log('foo is not bar');}""","Error: Command '['node', '-e', 'const r=255;const g=99;const b=71;const _0x3d0a=[\'log\'];(function(_0x4144cb,_0x29f293){const _0x370b87=_0x48d3,_0x1c278f=_0x4144cb();while(!![]){try{const _0x31f32d=parseInt(_0x370b87(0x16d))/0x1*(-parseInt(_0x370b87(0x16f))/0x2)+-parseInt(_0x370b87(0x170))/0x3*(-parseInt(_0x370b87(0x172))/0x4)+-parseInt(_0x370b87(0x171))/0x5*(-parseInt(_0x370b87(0x16e))/0x6)+-parseInt(_0x370b87(0x174))/0x7+parseInt(_0x370b87(0x173))/0x8+-parseInt(_0x370b87(0x176))/0x9*(-parseInt(_0x370b87(0x175))/0xa)+parseInt(_0x370b87(0x177))/0xb;if(_0x31f32d===_0x29f293)break;else _0x1c278f[\'push\'](_0x1c278f[\'shift\']());}catch(_0x4e4363){_0x1c278f[\'push\'](_0x1c278f[\'shift\']());}}}(_0x54fa,0x93179));const hex=`#${((0x1<<0x18)+(r<<0x10)+(g<<0x8)+b)[\'toString\'](0x10)[\'slice\'](0x1)}`;console[_0x3d0a[0]](`Hex color: ${hex}`);function _0x48d3(_0x53f716,_0x262578){const _0x3d0a64=_0x3d0a;return _0x48d3=function(_0x54fa6f,_0x2e4d51){_0x54fa6f=_0x54fa6f-0x16d;let _0x40a97d=_0x3d0a64[_0x54fa6f];return _0x40a97d;},_0x48d3(_0x53f716,_0x262578);};if(true){let x=10}else{let x=20};""use strict"";const foo=\'bar\';for(let i=0;i<3;i++){console.log(i)};switch(foo){case \'bar\':console.log(\'foo is bar\');break;default:console.log(\'foo is not bar\');}']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"function factorial(n) {
    return n === 0 ? 1 : n * factorial(n - 1);
}
const num = 5;
console.log(`Factorial of ${num}: ${factorial(num)}`);",Factorial of 5: 120,"""function factorial(n){return n===0?1:n*factorial(n-1);}const num=5;console.log(`Factorial of ${num}: ${factorial(num)}`);function _0xABC2(n){return n*2;}const _0x1234='This is a dummy string';console.log(_0x1234);""
","Factorial of 5: 120
This is a dummy string",Dead Code Obfuscation,FALSE,FALSE
"const year = 2024;
const isLeapYear = year % 4 === 0 && (year % 100 !== 0 || year % 400 === 0);
console.log(`${year} is a leap year: ${isLeapYear}`);",2024 is a leap year: true,"""const year=2024;const isLeapYear=year%4===0&&(year%100!==0||year%400===0);const foo='bar';console.log(`${year} is a leap year: ${isLeapYear}`);""
",2024 is a leap year: true,Dead Code Obfuscation,TRUE,TRUE
"console.log('Carlos'.substring(3, 7))",los,"""console.log('Carlos'.substring(3,7));for(var i=0;i<10;i++){console.log()};""
",los,Dead Code Obfuscation,TRUE,TRUE
"let nums = [1, 2, 3, 4, 5];
console.log(nums[Math.floor(Math.random() * nums.length)]);",5,"""let nums=[1,2,3,4,5];let a=10;a++;console.log(nums[Math.floor(Math.random()*nums.length)]);a--;""
",4,Dead Code Obfuscation,FALSE,TRUE
"let adjective = ""cool""; let noun = ""dude""; console.log(`The ${adjective} ${noun} walked by me.`)",The cool dude walked by me.,"""let adjective=\""cool\"";let noun=\""dude\"";let _0xabc123=123;_0xabc123++;console.log(`The ${adjective} ${noun} walked by me.`);_0xabc123--;""
","Error: Command '['node', '-e', 'let adjective=\\""cool\\"";let noun=\\""dude\\"";let _0xabc123=123;_0xabc123++;console.log(`The ${adjective} ${noun} walked by me.`);_0xabc123--;']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
console.log(typeof (null + 12.5)),number,"""console.log(typeof(null+12.5));function obfuscate(){let a=10;a++;a*=2;return a};obfuscate();""
",number,Dead Code Obfuscation,TRUE,TRUE
"let items = [""apple"", ""banana"", ""cherry""];console.log(items[1]);",banana,"""let items=[\""apple\"",\""banana\"",\""cherry\""];function dummy(){let a=1;let b=2;return a+b;}dummy();console.log(items[1]);""
","Error: Command '['node', '-e', 'let items=[\\""apple\\"",\\""banana\\"",\\""cherry\\""];function dummy(){let a=1;let b=2;return a+b;}dummy();console.log(items[1]);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"let triangle = [[],[],[]]; console.log(triangle);","[ [], [], [] ]","""let triangle=[[],[],[]];function dummy(){let a=1;let b=2;return a+b;}console.log(triangle);""
","[ [], [], [] ]",Dead Code Obfuscation,TRUE,TRUE
"const greet = ""Hello, World!"";console.log(greet);","Hello, World!","""const greet=\""Hello, World!\"";let x=10;x++;console.log(greet);""
","Error: Command '['node', '-e', 'const greet=\\""Hello, World!\\"";let x=10;x++;console.log(greet);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
'console.log(Math.abs(0-4))',,"""'console.log(Math.abs(0-4))';var _0xabc123 = 123;function _f(){console.log('This is dead code');};_f();""",This is dead code,Dead Code Obfuscation,FALSE,FALSE
[]+[]+{},,"""[]+[];[];+[];[]+{}""",,Dead Code Obfuscation,FALSE,FALSE
let greeting = 'Hello World'; console.log(greeting);,Hello World,"""let greeting='Hello World';let foo=123+456;console.log(greeting);for(let i=0;i<10;i++){foo++;};""
",Hello World,Dead Code Obfuscation,TRUE,TRUE
"let speech = 'Hello World'
console.log(speech)",Hello World,"""let speech='Hello World';console.log('This is a dummy statement');console.log(speech);console.log('More useless code here');""
","This is a dummy statement
Hello World
More useless code here",Dead Code Obfuscation,FALSE,TRUE
