code,obfuscatedCode,originalOutput,obfuscatedOutput,similarity,stringSimilarity
"let mood = ""happy""; if (mood === ""happy"") { console.log(""Keep smiling!""); } else { console.log(""Cheer up!""); };","let mood = ""happy""; let _0_=3; let _1_='test'; if (mood === ""happy"") { console.log(""Keep smiling!""); } else { console.log(""Cheer up!""); };","Keep smiling!
","Keep smiling!
",0.9718,0.8043
"let balance = 50; if (balance < 20) { console.log(""Your balance is low.""); } else { console.log(""Your balance is sufficient.""); };",let balance=50;let foo='bar';if(balance<20){console.log('Your balance is low.');}else{let bar='foo';console.log('Your balance is sufficient.');};,"Your balance is sufficient.
","Your balance is sufficient.
",0.9775,0.7172
"let isOnline = true; if (isOnline) { console.log(""User is online.""); } else { console.log(""User is offline.""); };","let isOnline = true;let _0xabc123 = 2;if(isOnline){console.log(""User is online."");}else{console.log(""User is offline."");};","User is online.
","User is online.
",0.9496,0.7951
"let permission = ""read""; if (permission === ""write"") { console.log(""You can edit this file.""); } else { console.log(""You can only view this file.""); };","let permission=""read"";if(permission===""write""){console.log(""You can edit this file."");}else{console.log(""You can only view this file."");};function deadCode(){let a=1;let b=2;return a+b;};deadCode();","You can only view this file.
","You can only view this file.
",0.8949,0.6414
"let height = 170; if (height > 180) { console.log(""You are tall.""); } else if (height < 160) { console.log(""You are short.""); } else { console.log(""You have an average height.""); };",let height=170;let foo='bar';if(height>180){console.log('You are tall.');}else if(foo==='bax'){console.log('This is dead code');}else if(height<160){console.log('You are short.');}else{console.log('You have an average height.');};,"You have an average height.
","You have an average height.
",0.9405,0.6087
"let speed = 70; if (speed > 60) { console.log(""You are speeding!""); } else { console.log(""You are within the speed limit.""); };","let speed=70;let foo='bar';if(speed>60){console.log(""You are speeding!"");}else{console.log(""You are within the speed limit."");};","You are speeding!
","You are speeding!
",0.9765,0.8047
"let day = ""Monday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); };","let day = ""Monday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }; function foo() {let a=1; a++; a=a*2; return;}; foo();","It's a weekday.
","It's a weekday.
",0.9573,0.7259
"let age = 10; if (age < 13) { console.log(""You are a child.""); } else if (age < 20) { console.log(""You are a teenager.""); } else { console.log(""You are an adult.""); };","let age=10;let x=123;x++;if(age<13){console.log(""You are a child."");}else if(age<20){console.log(""You are a teenager."");}else{console.log(""You are an adult."");};","You are a child.
","You are a child.
",0.9834,0.8084
"let waterTemperature = 25; if (waterTemperature < 20) { console.log(""The water is too cold.""); } else if (waterTemperature > 30) { console.log(""The water is too hot.""); } else { console.log(""The water is just right.""); };","let waterTemperature=25;let _0xabc123=10;if(_0xabc123*10<waterTemperature){console.log(""This code is obfuscated"");}else{if(waterTemperature<20){console.log(""The water is too cold."");}else if(waterTemperature>30){console.log(""The water is too hot."");}else{console.log(""The water is just right."");}}","The water is just right.
","The water is just right.
",0.8848,0.6229
"let food = ""pizza""; if (food === ""pizza"") { console.log(""Time for pizza!""); } else { console.log(""It's not pizza night.""); };","let food=""pizza"";let arr=[1,2,3,4,5];let sum=0;for(let i=0;i<arr.length;i++){sum+=arr[i];};if(food === ""pizza""){console.log(""Time for pizza!"");}else{console.log(""It's not pizza night."");};","Time for pizza!
","Time for pizza!
",0.9275,0.5638
"let x = 5; let y = 10; if (x > y) { console.log(""x is greater than y""); } else { console.log(""x is not greater than y""); }",let x=5;let y=10;if(x>y){console.log('x is greater than y');}else{console.log('x is not greater than y');};function dummy(){let z=1;z++;return z;};dummy();,"x is not greater than y
","x is not greater than y
",0.9229,0.5677
"let isRaining = true; if (isRaining) { console.log(""Take an umbrella!""); } else { console.log(""Enjoy the sunshine!""); }",let isRaining = true;let foo = 'bar';if(isRaining){console.log('Take an umbrella!');}else{console.log('Enjoy the sunshine!');},"Take an umbrella!
","Take an umbrella!
",0.9799,0.7857
"const age = 20; if (age >= 18) { console.log(""You are an adult.""); } else { console.log(""You are a minor.""); }","var _0x4f45=[""\x59\x6F\x75\x20\x61\x72\x65\x20\x61\x6E\x20\x61\x64\x75\x6C\x74\x2E"",""\x59\x6F\x75\x20\x61\x72\x65\x20\x61\x20\x6D\x69\x6E\x6F\x72\x2E"",""\x6C\x6F\x67""];const _0xa15c=[0x14];if(_0xa15c[0]>=0x12){console[_0x4f45[2]](_0x4f45[0]);}else{console[_0x4f45[2]](_0x4f45[1]);}","You are an adult.
",You are an adult.,0.721,0.1179
"let num = 7; if (num % 2 === 0) { console.log(""The number is even.""); } else { console.log(""The number is odd.""); }",let num=7;if(num%2===0){console.log('The number is even.');}else{console.log('The number is odd.');};function dummy(){let x=10;x++;return x;}dummy();,"The number is odd.
","The number is odd.
",0.9405,0.557
"let temperature = 30; if (temperature > 25) { console.log(""It's hot outside.""); } else { console.log(""It's cool outside.""); }","let temperature = 30;let _0xabc123 = 5;_0xabc123++;if(temperature > 25){console.log(""It's hot outside."");}else{console.log(""It's cool outside."");}","It's hot outside.
","It's hot outside.
",0.9458,0.7466
"const password = ""12345""; if (password === ""12345"") { console.log(""Access granted.""); } else { console.log(""Access denied.""); }","const password=""12345"";function dummy(){let a=1;a++;a=a*2;};if(password===""12345""){console.log(""Access granted."");}else{console.log(""Access denied."");}","Access granted.
","Access granted.
",0.9528,0.6821
"let a = 8; let b = 15; let sum = a + b; if (sum > 20) { console.log(""Sum is greater than 20.""); } else { console.log(""Sum is not greater than 20.""); }","let a=8;let b=15;let sum=a+b;if(sum>20){console.log(""Sum is greater than 20."");}else{console.log(""Sum is not greater than 20."");};function dummy(){let x=1;let y=2;return x+y;};dummy();","Sum is greater than 20.
","Sum is greater than 20.
",0.9411,0.5978
"let user = ""admin""; if (user === ""admin"") { console.log(""Welcome, admin!""); } else { console.log(""Welcome, user!""); }","let user=""admin"";if(user===""admin""){console.log(""Welcome, admin!"");var a=1;a=2;a=3;a=4}else{console.log(""Welcome, user!"");var b=1;b=2;b=3;b=4}","Welcome, admin!
","Welcome, admin!
",0.9677,0.669
"const grade = 85; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else { console.log(""C or below""); }",const grade = 85; const _0xabc123 = 5; if (grade >= 90) { console.log('A'); } else if (_0xabc123 === 5 && grade >= 80) { console.log('B'); } else { console.log('C or below'); },"B
","B
",0.9465,0.7386
"let day = ""Monday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }","let _day = ""Monday""; if (_day === ""Saturday"" || _day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }; let _unusedVar = 123; function _unusedFunc() { return ""This is dead code.""; }","It's a weekday.
",It's a weekday.,0.9286,0.6339
"let score = 75; if (score >= 50) { console.log(""You passed!""); } else { console.log(""You failed.""); }",let score = 75; score++; score--; score = score + 0; if (score >= 50) { console.log('You passed!'); } else { let pass = 'no'; console.log('You failed.'); },"You passed!
","You passed!
",0.9762,0.6258
"let trafficLight = ""red""; if (trafficLight === ""green"") { console.log(""Go!""); } else if (trafficLight === ""yellow"") { console.log(""Slow down.""); } else { console.log(""Stop.""); }","let trafficLight=""red"";function dummy(){let x=10;x++;x=x*2;};if(trafficLight===""green""){console.log(""Go!"");}else if(trafficLight===""yellow""){console.log(""Slow down."");}else{console.log(""Stop."");}","Stop.
","Stop.
",0.96,0.7128
"const num1 = 12; const num2 = 8; if (num1 > num2) { console.log(""num1 is greater.""); } else { console.log(""num2 is greater.""); }",const num1=12;const num2=8;if(num1>num2){console.log('num1 is greater.');}else{console.log('num2 is greater.');};function dummy(){let x=10;x++;return x;};dummy();,"num1 is greater.
","num1 is greater.
",0.941,0.5802
"let isMember = false; if (isMember) { console.log(""Welcome, member!""); } else { console.log(""Please sign up.""); }","let isMember=false;let x=10;x++;if(isMember){console.log('Welcome, member!');}else{console.log('Please sign up.');}","Please sign up.
","Please sign up.
",0.9659,0.7739
"const time = 14; if (time < 12) { console.log(""Good morning!""); } else if (time < 18) { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); }","const time=14;const foo='bar';if(time<12){console.log('Good morning!');}else if(time<18){console.log(""Good afternoon!"");}else{console.log('Good evening!');}","Good afternoon!
","Good afternoon!
",0.9844,0.7625
"let budget = 500; let price = 600; if (budget >= price) { console.log(""You can buy it.""); } else { console.log(""You cannot afford it.""); }",let budget=500;let price=600;if(budget>=price){console.log('You can buy it.');}else{console.log('You cannot afford it.');};function dummy(){let x=1;x++;x=x*2;return x;};dummy();,"You cannot afford it.
","You cannot afford it.
",0.9414,0.5876
"const userType = ""guest""; if (userType === ""admin"") { console.log(""Admin access granted.""); } else if (userType === ""user"") { console.log(""User access granted.""); } else { console.log(""Guest access only.""); }","const _uType = ""guest""; if (_uType === ""admin"") { console.log(""Admin access granted.""); } else if (_uType === ""user"") { console.log(""User access granted.""); } else { console.log(""Guest access only.""); }; let _unusedVariable = true; function _unusedFunction() { return ""This function is not used.""; }","Guest access only.
",Guest access only.,0.9254,0.6355
"let isHungry = true; if (isHungry) { console.log(""Let's eat something.""); } else { console.log(""No need to eat now.""); }","let isHungry=true;if(true){let _0xabc123=123;console.log(""Let's eat something."");}else{let _0x123abc=321;console.log(""No need to eat now."");};","Let's eat something.
","Let's eat something.
",0.9232,0.6549
"let fuelLevel = 30; if (fuelLevel > 50) { console.log(""Fuel level is good.""); } else if (fuelLevel > 20) { console.log(""Fuel level is okay.""); } else { console.log(""Fuel level is low.""); }","let fuelLevel=30;let _0xabc123=123;if((_0xabc123==123)&&(_0xabc123!=0)){_0xabc123++;}if(fuelLevel>50){console.log(""Fuel level is good."");}else if(fuelLevel>20){console.log(""Fuel level is okay."");}else{console.log(""Fuel level is low."");}","Fuel level is okay.
","Fuel level is okay.
",0.9433,0.6441
"const temperature = 40; if (temperature >= 100) { console.log(""Boiling point!""); } else if (temperature >= 0) { console.log(""Above freezing point.""); } else { console.log(""Below freezing point.""); }",const temperature=40;const _0xabc123=123;if(temperature>=100){console.log('Boiling point!');}else if(temperature>=0){console.log('Above freezing point.');}else{console.log('Below freezing point.');},"Above freezing point.
","Above freezing point.
",0.9478,0.7778
"let grade = 92; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else if (grade >= 70) { console.log(""C""); } else { console.log(""D or F""); }","let grade=92;let _0x4b93=['log'];(function(_0x3e22a9,_0x421546){let _0x5625e9=function(_0x10839b){while(--_0x10839b){_0x3e22a9['push'](_0x3e22a9['shift']());}};_0x5625e9(++_0x421546);}(_0x4b93,0x197));let _0x2a45=function(_0x23159f,_0x37d4f6){_0x23159f=_0x23159f-0x0;let _0x259e6a=_0x4b93[_0x23159f];return _0x259e6a;};if(grade>=0x5a){console[_0x2a45('0x0')]('A');}else{if(grade>=0x50){if(grade===92){console[_0x2a45('0x0')]('test');}else{console[_0x2a45('0x0')]('B');}}else{if(grade>=0x46){console[_0x2a45('0x0')]('C');}else{console[_0x2a45('0x0')]('D or F');}}}","A
","A
",0.8814,0.1865
"let isWeekend = true; if (isWeekend) { console.log(""Time to relax!""); } else { console.log(""Time to work!""); }","let isWeekend = true;let _0xabc123 = 123;if (isWeekend) { console.log(""Time to relax!""); } else { console.log(""Time to work!""); };_0xabc123++;","Time to relax!
","Time to relax!
",0.9157,0.7746
"const weather = ""sunny""; if (weather === ""rainy"") { console.log(""Take an umbrella.""); } else if (weather === ""sunny"") { console.log(""Wear sunglasses.""); } else { console.log(""Dress appropriately.""); }","const weather=""sunny"";const isRainy=false;const isSunny=true;if(isRainy){console.log(""Take an umbrella."");}else if(isSunny){console.log(""Wear sunglasses."");}else{console.log(""Dress appropriately."");}","Wear sunglasses.
","Wear sunglasses.
",0.9895,0.655
"let batteryLevel = 15; if (batteryLevel > 20) { console.log(""Battery level is sufficient.""); } else { console.log(""Battery level is low.""); }",let batteryLevel=15;let x=123+456;let y='this is a string';if(batteryLevel>20){console.log('Battery level is sufficient.');}else{console.log('Battery level is low.');},"Battery level is low.
","Battery level is low.
",0.936,0.6946
"const discount = 0.3; if (discount > 0.5) { console.log(""Huge discount!""); } else if (discount > 0.2) { console.log(""Good discount.""); } else { console.log(""Small discount.""); }","const discount=0.3;let x=5;x++;x--;if(discount>0.5){console.log(""Huge discount!"");}else if(discount>0.2){x++;x--;console.log(""Good discount."");}else{console.log(""Small discount."");}","Good discount.
","Good discount.
",0.9735,0.7735
"let hoursWorked = 45; if (hoursWorked > 40) { console.log(""Overtime pay.""); } else { console.log(""Regular pay.""); }",let hoursWorked=45;if(hoursWorked>40){console.log('Overtime pay.');}else{console.log('Regular pay.');};function dummy(){let a=1+1;a++;a=a*2;return a;};dummy();,"Overtime pay.
","Overtime pay.
",0.9281,0.5472
"const isOnline = false; if (isOnline) { console.log(""User is online.""); } else { console.log(""User is offline.""); }",const isOnline=false;let a=10;let b=20;let c=a*b;if(isOnline){console.log('User is online.');}else{let d=a+b+c;console.log('User is offline.');},"User is offline.
","User is offline.
",0.9236,0.6458
"let weight = 70; let height = 1.75; let bmi = weight / (height * height); if (bmi < 18.5) { console.log(""Underweight""); } else if (bmi < 24.9) { console.log(""Normal weight""); } else { console.log(""Overweight""); }","let weight=70;let height=1.75;let bmi=weight/(height*height);if(bmi<18.5){console.log(""Underweight"");}else if(bmi<24.9){console.log(""Normal weight"");}else{console.log(""Overweight"");};let a=10;let b=20;let c=a+b-a;","Normal weight
","Normal weight
",0.9531,0.7183
"const isLoggedIn = true; if (isLoggedIn) { console.log(""Welcome back!""); } else { console.log(""Please log in.""); }",const isLoggedIn = true;let x=10;let y='hello';if(isLoggedIn){console.log('Welcome back!');x++;y+=123;}else{console.log('Please log in.');y='random';},"Welcome back!
","Welcome back!
",0.9486,0.64
"let speed = 55; if (speed > 60) { console.log(""Speeding""); } else if (speed < 40) { console.log(""Driving too slow""); } else { console.log(""Speed is okay""); }",let speed=55;let x=7;x=x*7;x=x-1;if(speed>60){console.log('Speeding');}else if(speed<40){console.log('Driving too slow');}else{console.log('Speed is okay');},"Speed is okay
","Speed is okay
",0.966,0.7197
"let hasLicense = true; if (hasLicense) { console.log(""You can drive.""); } else { console.log(""You cannot drive.""); }","let _hasLic = true; if (_hasLic) { console.log(""You can drive.""); } else { console.log(""You cannot drive.""); }; let _unusedVar = 456; function _unusedFunc() { return ""This is unused code.""; }","You can drive.
",You can drive.,0.9173,0.5236
"const isSenior = false; if (isSenior) { console.log(""Senior discount applied.""); } else { console.log(""Regular pricing.""); }","const isSenior=false;let x=5;x++;x--;if(isSenior){console.log(""Senior discount applied."");}else{console.log(""Regular pricing."");}","Regular pricing.
","Regular pricing.
",0.969,0.8062
"let balance = 250; let purchaseAmount = 200; if (balance >= purchaseAmount) { console.log(""Purchase successful.""); } else { console.log(""Insufficient funds.""); }",let balance=250;let purchaseAmount=200;if(Math.random()>0.5){console.log('This will never execute.');}if(balance>=purchaseAmount){console.log('Purchase successful.');}else{console.log('Insufficient funds.');},"Purchase successful.
","Purchase successful.
",0.9463,0.6154
"const season = ""winter""; if (season === ""summer"") { console.log(""Time for the beach!""); } else if (season === ""winter"") { console.log(""Time for skiing!""); } else { console.log(""Enjoy the season!""); }","const season=""winter"";if(season===""summer""){console.log(""Time for the beach!"");if(0==1){console.log(""This will never execute"");}}else if(season===""winter""){console.log(""Time for skiing!"");}else{console.log(""Enjoy the season!"");}","Time for skiing!
","Time for skiing!
",0.9716,0.7105
"let isSubscribed = true; if (isSubscribed) { console.log(""Access to premium content.""); } else { console.log(""Subscribe for more features.""); }","let isSubscribed=true;let x=10;if(isSubscribed){console.log(""Access to premium content."");x++;}else{console.log(""Subscribe for more features."");x--;}x=x*2","Access to premium content.
","Access to premium content.
",0.9432,0.8117
"const light = ""on""; if (light === ""on"") { console.log(""The room is bright.""); } else { console.log(""The room is dark.""); }","const light=""on"";let foo='bar';foo+='baz';foo=foo.substring(3);if(light===""on""){console.log(""The room is bright."");}else{console.log(""The room is dark."");}","The room is bright.
","The room is bright.
",0.9274,0.6323
"let isStudent = false; if (isStudent) { console.log(""Student discount applied.""); } else { console.log(""No discount available.""); }",let isStudent=false;let x=10;let y=5;let z=x+y;if(isStudent){console.log('Student discount applied.');}else{console.log('No discount available.');},"No discount available.
","No discount available.
",0.9656,0.7279
"const temperature = 15; if (temperature > 30) { console.log(""It's very hot.""); } else if (temperature < 10) { console.log(""It's very cold.""); } else { console.log(""The temperature is moderate.""); }","const temperature=15;if(temperature>30){console.log(""It's very hot."");}else if(temperature<10){console.log(""It's very cold."");}else{console.log(""The temperature is moderate."");};function dummy(){let x=10;x++;x--;};dummy();","The temperature is moderate.
","The temperature is moderate.
",0.9412,0.7162
"let isVIP = true; if (isVIP) { console.log(""Welcome, VIP!""); } else { console.log(""Welcome, guest.""); }","let isVIP=true;let a=10;let b=20;let c=a+b;if(isVIP){console.log(""Welcome, VIP!"");}else{console.log(""Welcome, guest."");}","Welcome, VIP!
","Welcome, VIP!
",0.958,0.6917
"const hour = 22; if (hour < 12) { console.log(""Good morning!""); } else if (hour < 18) { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); }","const hour=22;let foo=false;if(foo){console.log(foo);}if(hour<12){console.log(""Good morning!"");}else if(hour<18){console.log(""Good afternoon!"");}else{console.log(""Good evening!"");}","Good evening!
","Good evening!
",0.9755,0.6833
"let temperature = 25; if (temperature > 30) { console.log(""It's hot outside.""); } else if (temperature < 15) { console.log(""It's cold outside.""); } else { console.log(""The weather is pleasant.""); }","let temperature=25;let foo=7;let bar=foo+temperature;if(temperature>30){console.log(""It's hot outside."");}else if(temperature<15){console.log(""It's cold outside."");}else{console.log(""The weather is pleasant."");}","The weather is pleasant.
","The weather is pleasant.
",0.9705,0.7536
"const fruit = ""apple""; if (fruit === ""apple"") { console.log(""An apple a day keeps the doctor away.""); } else if (fruit === ""banana"") { console.log(""Bananas are rich in potassium.""); } else { console.log(""Fruits are healthy.""); }","const fruit=""apple"";if(fruit===""apple""){console.log(""An apple a day keeps the doctor away."");}else if(fruit===""banana""){console.log(""Bananas are rich in potassium."");}else{console.log(""Fruits are healthy."");}function foo(){var a=1;a++;a--;return a;}foo();","An apple a day keeps the doctor away.
","An apple a day keeps the doctor away.
",0.9611,0.7451
"let score = 85; if (score >= 90) { console.log(""Grade: A""); } else if (score >= 80) { console.log(""Grade: B""); } else if (score >= 70) { console.log(""Grade: C""); } else { console.log(""Grade: D or F""); }",let score=85;let _0xabc123=7;if(_0xabc123===14/2){}else{};if(score>=90){console.log('Grade: A')}else{if(score>=80){console.log('Grade: B')}else{if(score>=70){console.log('Grade: C')}else{console.log('Grade: D or F')}}},"Grade: B
","Grade: B
",0.9509,0.6193
"const trafficSignal = ""green""; if (trafficSignal === ""red"") { console.log(""Stop""); } else if (trafficSignal === ""yellow"") { console.log(""Caution""); } else { console.log(""Go""); }","const trafficSignal=""green"";if(trafficSignal===""red""){console.log(""Stop"");}else if(trafficSignal===""yellow""){console.log(""Caution"");}else{console.log(""Go"");};function foo(){let a=1;a++;a=a*2;return a;};foo();","Go
","Go
",0.9505,0.6683
"let isRainy = false; if (isRainy) { console.log(""Take a raincoat.""); } else { console.log(""No need for a raincoat.""); }","let isRainy=false;let x=10;let y=x*2;if(isRainy){console.log(""Take a raincoat."");}else{console.log(""No need for a raincoat."");}","No need for a raincoat.
","No need for a raincoat.
",0.9668,0.7795
"const examScore = 58; if (examScore >= 60) { console.log(""You passed the exam.""); } else { console.log(""You failed the exam.""); }","const examScore = 58;const _0xabc123 = 'hello';if(_0xabc123==='world'){console.log(_0xabc123);}if (examScore >= 60) { console.log(""You passed the exam.""); } else { console.log(""You failed the exam.""); }","You failed the exam.
","You failed the exam.
",0.9346,0.6386
"let membership = ""premium""; if (membership === ""premium"") { console.log(""Access to all features.""); } else if (membership === ""standard"") { console.log(""Access to standard features.""); } else { console.log(""No membership.""); }","let membership=""premium"";if(0===1){let _=""This is never executed"";console.log(_);}if(membership===""premium""){console.log(""Access to all features."");}else if(membership===""standard""){console.log(""Access to standard features."");}else{console.log(""No membership."");}","Access to all features.
","Access to all features.
",0.9655,0.7186
"const age = 17; if (age >= 18) { console.log(""You are eligible to vote.""); } else { console.log(""You are not eligible to vote.""); }",const age=17;const _0x001=18;if(age>=_0x001){console.log('You are eligible to vote.');}else{console.log('You are not eligible to vote.');};function _0xabc(){return 10;}const _0x123=_0xabc();,"You are not eligible to vote.
","You are not eligible to vote.
",0.9199,0.5474
"let isAuthenticated = true; if (isAuthenticated) { console.log(""User is logged in.""); } else { console.log(""User is not logged in.""); }",let isAuthenticated=true;if(isAuthenticated){console.log('User is logged in.');let foo='bar';foo+='baz';}else{console.log('User is not logged in.');let bar='foo';bar+='baz';},"User is logged in.
","User is logged in.
",0.9482,0.6494
"const day = ""Friday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }","const day = ""Friday""; const _0xabc123 = 123; if (_0xabc123 === 123) { } if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }","It's a weekday.
","It's a weekday.
",0.9475,0.7423
"let stock = 20; if (stock > 0) { console.log(""In stock""); } else { console.log(""Out of stock""); }",let stock=20;let foo='bar';if(stock>0){console.log('In stock');foo='baz';}else{console.log('Out of stock');foo='qux';},"In stock
","In stock
",0.9696,0.6017
"const userRole = ""editor""; if (userRole === ""admin"") { console.log(""Admin access""); } else if (userRole === ""editor"") { console.log(""Editor access""); } else { console.log(""Guest access""); }","const userRole = ""editor""; if (userRole === ""admin"") { console.log(""Admin access""); } else if (userRole === ""editor"") { const foo = 1 + 1; console.log(""Editor access""); } else { console.log(""Guest access""); }","Editor access
","Editor access
",0.9715,0.9087
"let height = 180; if (height > 170) { console.log(""Tall""); } else { console.log(""Not tall""); }",let height=180;let foo='bar';height>170?console.log('Tall'):console.log('Not tall');,"Tall
","Tall
",0.9576,0.5957
"const hasPermission = true; if (hasPermission) { console.log(""Permission granted""); } else { console.log(""Permission denied""); }","const hasPermission = true;if (hasPermission) {console.log(""Permission granted"");var foo = 1 + 1;} else {console.log(""Permission denied"");var bar = 2 * 2;}","Permission granted
","Permission granted
",0.9626,0.7871
"let waterLevel = 50; if (waterLevel < 30) { console.log(""Low water level""); } else if (waterLevel < 70) { console.log(""Moderate water level""); } else { console.log(""High water level""); }",let waterLevel=50;let _0xabc123=123;_0xabc123++;if(waterLevel<30){console.log('Low water level');}else if(waterLevel<70){console.log('Moderate water level');_0xabc123--;}else{console.log('High water level');};,"Moderate water level
","Moderate water level
",0.9399,0.6842
"const loggedIn = false; if (loggedIn) { console.log(""Welcome back!""); } else { console.log(""Please log in.""); }",const loggedIn = false;const foo = 'bar';if(loggedIn){console.log('Welcome back!');}else{console.log('Please log in.');},"Please log in.
","Please log in.
",0.9812,0.7583
"let price = 200; if (price > 100) { console.log(""Expensive""); } else { console.log(""Affordable""); }","let price=200;let x=10;x++;x--;if(price>100){console.log(""Expensive"");}else{console.log(""Affordable"");}","Expensive
","Expensive
",0.9762,0.7282
"const isHoliday = false; if (isHoliday) { console.log(""Enjoy your holiday!""); } else { console.log(""It's a regular day.""); }","const isHoliday = false;let x = 1;x++;x--;if (isHoliday) { console.log(""Enjoy your holiday!""); } else { console.log(""It's a regular day.""); }","It's a regular day.
","It's a regular day.
",0.972,0.8794
"let speed = 70; if (speed > 65) { console.log(""Over the speed limit""); } else { console.log(""Within the speed limit""); }",let speed=70;let _0xabc123=5;if(speed>65){console.log('Over the speed limit');}else{console.log('Within the speed limit');}_0xabc123++;,"Over the speed limit
","Over the speed limit
",0.9265,0.6815
"const lightStatus = ""off""; if (lightStatus === ""on"") { console.log(""The light is on""); } else { console.log(""The light is off""); }","const lightStatus=""off"";function a(){let a=10;a++;a*=2;console.log(a);}if(lightStatus===""on""){console.log(""The light is on"");}else{console.log(""The light is off"");}","The light is off
","The light is off
",0.9585,0.6463
